bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0b92e-e556-718b-9a20-94fc51f70ea8,0,439909,451627,ACCEPTED,,451684,ok,11.775
bot-000,01a0b92e-e756-7237-9ca8-ee3f05af831a,1,951798,1001930,ACCEPTED,,1001972,ok,50.174
bot-000,01a0b92e-e94c-75d4-90d0-63063787e756,2,1454392,1501541,ACCEPTED,,1501567,ok,47.175
bot-000,01a0b92e-eb50-77a4-a1a5-a6d30beeddbe,3,1970075,2002099,ACCEPTED,,2002138,ok,32.063
bot-000,01a0b92e-ed53-7378-ad65-741beed04056,4,2485154,2501600,ACCEPTED,,2501624,ok,16.470
bot-000,01a0b92e-ef49-74b8-b183-333241a5fe28,5,2987364,3002066,ACCEPTED,,3002087,ok,14.723
bot-000,01a0b92e-f14b-7136-91c7-e9a3f7d5deda,6,3501746,3551633,ACCEPTED,,3551671,ok,49.925
bot-000,01a0b92e-f341-7219-98b7-1aeca2f31f13,7,4003649,4051827,ACCEPTED,,4051879,ok,48.230
bot-000,01a0b92e-f537-7397-bc2b-e8cc49ebfe36,8,4505321,4551699,ACCEPTED,,4551744,ok,46.423
bot-000,01a0b92e-f730-75e6-bc0b-9ab6ef4a252b,9,5010470,5051643,ACCEPTED,,5051697,ok,41.227
bot-000,01a0b92e-f926-73fc-a980-de7198fdce06,10,5512398,5551382,ACCEPTED,,5551429,ok,39.031
bot-000,01a0b92e-fb1e-768c-bff5-6aa746571d44,11,6016638,6051820,ACCEPTED,,6051868,ok,35.230
bot-000,01a0b92e-fd13-713a-a58c-8313bb2672f6,12,6517678,6551708,ACCEPTED,,6551728,ok,34.050
bot-000,01a0b92e-ff0a-7168-a4fd-4299e62b0062,13,7020062,7051902,ACCEPTED,,7051930,ok,31.868
bot-000,01a0b92f-010c-77bc-aba2-f58ae4645287,14,7534216,7551416,ACCEPTED,,7551433,ok,17.217
bot-000,01a0b92f-030f-7391-af15-60309ad71818,15,8048812,8051472,ACCEPTED,,8051494,ok,2.682
bot-000,01a0b92f-0505-73db-b6fc-aa7db60eb655,16,8551534,8601883,ACCEPTED,,8601923,ok,50.389
bot-000,01a0b92f-0707-776f-b117-bcbe47f3ea57,17,9065743,9101743,ACCEPTED,,9101792,ok,36.049
bot-000,01a0b92f-0908-7065-86a7-e7ece74ddb80,18,9578224,9601493,ACCEPTED,,9601511,ok,23.287
bot-000,01a0b92f-0afe-7369-a2ba-8f1fd1e33066,19,10080092,10101888,ACCEPTED,,10101916,ok,21.824
bot-000,01a0b92f-0d02-7184-9dac-30a7fb2f9c1d,20,10596735,10601515,ACCEPTED,,10601546,ok,4.811
bot-000,01a0b92f-0efb-7577-8fdd-acfcf81004ab,21,11101594,11151667,ACCEPTED,,11151697,ok,50.103
bot-000,01a0b92f-10f6-7131-a372-556b187b709b,22,11608647,11652032,ACCEPTED,,11652059,ok,43.412
bot-000,01a0b92f-12f9-7785-917b-f5d99f3cbb5b,23,12123628,12151460,ACCEPTED,,12151498,ok,27.870
bot-000,01a0b92f-14fd-75eb-a12f-cc51e3687a03,24,12639632,12651880,ACCEPTED,,12651909,ok,12.277
bot-000,01a0b92f-16f4-7012-8d9f-5f8b152851d8,25,13141954,13151559,ACCEPTED,,13151585,ok,9.631
bot-000,01a0b92f-18f6-72fb-ba5d-66e9b2b969d1,26,13656499,13701861,ACCEPTED,,13701894,ok,45.395
bot-000,01a0b92f-1aed-7485-b293-edf4248c60a3,27,14159584,14201903,ACCEPTED,,14201922,ok,42.338
bot-000,01a0b92f-1cef-7315-8066-71e2dcdb752f,28,14673605,14701619,ACCEPTED,,14701644,ok,28.039
bot-000,01a0b92f-1ef2-70e5-b675-df2c8651aea8,29,15188407,15201667,ACCEPTED,,15201721,ok,13.314
bot-000,01a0b92f-20eb-72e6-9128-e8cf94381069,30,15693708,15701529,ACCEPTED,,15701565,ok,7.857
bot-000,01a0b92f-22e1-7081-b348-1c8b583f0f13,31,16194867,16201773,ACCEPTED,,16201799,ok,6.932
bot-000,01a0b92f-24d8-7629-b543-aad255ebaaf9,32,16697951,16701517,ACCEPTED,,16701546,ok,3.595
bot-000,01a0b92f-26da-7217-9655-4a34bc719f2d,33,17212358,17251875,ACCEPTED,,17251922,ok,39.564
bot-000,01a0b92f-28d1-7466-b929-8a701e76ca5b,34,17715356,17751816,ACCEPTED,,17751875,ok,36.519
bot-000,01a0b92f-2ad3-70d7-a7a6-0eb69f9b0307,35,18229310,18251885,ACCEPTED,,18251936,ok,22.626
bot-000,01a0b92f-2cd6-711d-aa30-e2816acac6ad,36,18744378,18751628,ACCEPTED,,18751659,ok,7.281
bot-000,01a0b92f-2ed8-71e8-bfd7-2d54960a5644,37,19258307,19301726,ACCEPTED,,19301752,ok,43.445
bot-000,01a0b92f-30d0-73ef-a2ad-1ec974131ca5,38,19762048,19801630,ACCEPTED,,19801669,ok,39.621
bot-000,01a0b92f-32c8-7128-bbc6-7dfad66e85c8,39,20265869,20301948,ACCEPTED,,20301978,ok,36.109
bot-001,01a0b92e-e638-739d-85aa-8b791e810dd1,0,666097,701630,ACCEPTED,,701694,ok,35.597
bot-001,01a0b92e-e83a-765c-b1de-820a04529a24,1,1180693,1201760,ACCEPTED,,1201796,ok,21.103
bot-001,01a0b92e-ea31-777b-846f-828c6dcc6e55,2,1682783,1701627,ACCEPTED,,1701675,ok,18.892
bot-001,01a0b92e-ec26-72b4-b243-4b7547bf37b6,3,2183783,2201768,ACCEPTED,,2201809,ok,18.026
bot-001,01a0b92e-ee27-7229-b9d4-38efca4d3e7d,4,2697364,2701597,ACCEPTED,,2701643,ok,4.279
bot-001,01a0b92e-f01d-726f-9cda-e2e6b9cae372,5,3199052,3201586,ACCEPTED,,3201631,ok,2.579
bot-001,01a0b92e-f213-772e-adf2-5df88dbedc0f,6,3701504,3751716,ACCEPTED,,3751767,ok,50.263
bot-001,01a0b92e-f416-7350-b8d0-0fcea0c679c0,7,4215867,4251563,ACCEPTED,,4251613,ok,35.746
bot-001,01a0b92e-f60e-76f4-826a-5398988fb695,8,4720354,4751647,ACCEPTED,,4751693,ok,31.339
bot-001,01a0b92e-f805-73dc-b7b1-107d93bbc5f2,9,5222797,5251581,ACCEPTED,,5251632,ok,28.835
bot-001,01a0b92e-f9fc-7079-a01b-6f0f4242b12e,10,5726159,5751449,ACCEPTED,,5751491,ok,25.332
bot-001,01a0b92e-fbf3-764a-8163-09d5875935eb,11,6229029,6251582,ACCEPTED,,6251637,ok,22.608
bot-001,01a0b92e-fde8-76bf-9b63-2d8773ef0ab2,12,6730518,6751955,ACCEPTED,,6752010,ok,21.492
bot-001,01a0b92e-ffec-7215-8072-96aff5ee7d15,13,7246689,7251387,ACCEPTED,,7251429,ok,4.740
bot-001,01a0b92f-01ee-7240-ad22-bb8628346f93,14,7760602,7801445,ACCEPTED,,7801495,ok,40.893
bot-001,01a0b92f-03f2-7424-a9b5-3548139b2895,15,8275863,8301622,ACCEPTED,,8301665,ok,25.802
bot-001,01a0b92f-05e6-71fa-83ca-cf1ccdb67b59,16,8776627,8801761,ACCEPTED,,8801807,ok,25.180
bot-001,01a0b92f-07ea-7456-b07b-8cd2c4ffede2,17,9292289,9301427,ACCEPTED,,9301466,ok,9.177
bot-001,01a0b92f-09ee-73ef-89be-c56a39bb53ca,18,9807822,9851676,ACCEPTED,,9851722,ok,43.900
bot-001,01a0b92f-0bee-7328-bc8b-95d44ff2acff,19,10320628,10351688,ACCEPTED,,10351734,ok,31.106
bot-001,01a0b92f-0de5-740a-ba1c-17bdd3491c32,20,10822933,10851658,ACCEPTED,,10851708,ok,28.775
bot-001,01a0b92f-0fe8-723b-a8e6-449c87319a1c,21,11337803,11351702,ACCEPTED,,11351742,ok,13.939
bot-001,01a0b92f-11e9-72f1-9367-c4c661afc5d1,22,11851387,11901801,ACCEPTED,,11901844,ok,50.457
bot-001,01a0b92f-13ec-704f-9f85-e2ab356e9f04,23,12366269,12401399,ACCEPTED,,12401443,ok,35.174
bot-001,01a0b92f-15e2-7304-9df0-6ac31b19fea4,24,12868041,12901540,ACCEPTED,,12901592,ok,33.551
bot-001,01a0b92f-17e5-77b2-bb41-875f2cc5a38c,25,13382851,13401610,ACCEPTED,,13401676,ok,18.825
bot-001,01a0b92f-19dd-76ba-bc2a-8778bb01ea3a,26,13886834,13901676,ACCEPTED,,13901730,ok,14.896
bot-001,01a0b92f-1bdf-7385-8ad1-93b441710340,27,14400865,14401446,ACCEPTED,,14401494,ok,0.629
bot-001,01a0b92f-1de2-75fc-ab93-97330add666c,28,14916626,14951783,ACCEPTED,,14951838,ok,35.212
bot-001,01a0b92f-1fd8-77a6-8d77-58fa78ce1df8,29,15417970,15451639,ACCEPTED,,15451687,ok,33.717
bot-001,01a0b92f-21d0-7162-9cbf-4b87beb2d799,30,15921891,15952066,ACCEPTED,,15952120,ok,30.229
bot-001,01a0b92f-23d3-71b5-8c0e-1575806e2144,31,16437503,16451577,ACCEPTED,,16451634,ok,14.131
bot-001,01a0b92f-25ca-719e-a10d-f2fb0f3fa964,32,16939982,16951717,ACCEPTED,,16951773,ok,11.791
bot-001,01a0b92f-27ce-7339-be24-9b0490345e3b,33,17455887,17501805,ACCEPTED,,17501846,ok,45.959
bot-001,01a0b92f-29c4-7336-87cf-a25b3c3d462c,34,17957782,18001687,ACCEPTED,,18001729,ok,43.947
bot-001,01a0b92f-2bc5-7328-9e19-3934f6cd4eb9,35,18471748,18501770,ACCEPTED,,18501810,ok,30.062
bot-001,01a0b92f-2dc8-7629-ba06-521c8937720c,36,18985833,19001722,ACCEPTED,,19001765,ok,15.932
bot-001,01a0b92f-2fcc-7436-9667-ad82efee3d5a,37,19502245,19551460,ACCEPTED,,19551511,ok,49.266
bot-001,01a0b92f-31c3-72d0-94a6-bbb460dab022,38,20005574,20051805,ACCEPTED,,20051856,ok,46.282
bot-001,01a0b92f-33b9-75f6-8560-722f8d5a6c3d,39,20507474,20551734,ACCEPTED,,20551788,ok,44.314
bot-002,01a0b92e-e574-70fa-b945-d66d49b6682e,0,469776,501953,ACCEPTED,,501995,ok,32.219
bot-002,01a0b92e-e776-74ec-9f6c-f67da287138f,1,984092,1001939,ACCEPTED,,1001973,ok,17.881
bot-002,01a0b92e-e97a-7058-a263-706403126dbc,2,1499913,1501526,ACCEPTED,,1501561,ok,1.648
bot-002,01a0b92e-eb70-7732-8e9c-1a77f8c0e335,3,2002027,2051581,ACCEPTED,,2051609,ok,49.582
bot-002,01a0b92e-ed71-7529-b3c3-5bd485a4bb7f,4,2515495,2551694,ACCEPTED,,2551737,ok,36.242
bot-002,01a0b92e-ef68-718c-95d7-0bafbda9e8f7,5,3017797,3051531,ACCEPTED,,3051581,ok,33.784
bot-002,01a0b92e-f16a-70de-8f2b-8cb36f5256e7,6,3532648,3551618,ACCEPTED,,3551671,ok,19.023
bot-002,01a0b92e-f360-7480-b39f-8374d4d3ef07,7,4033939,4051866,ACCEPTED,,4051900,ok,17.961
bot-002,01a0b92e-f555-7611-a886-f90fae9314ed,8,4535721,4551699,ACCEPTED,,4551744,ok,16.023
bot-002,01a0b92e-f74f-73d9-a1b8-18f02363a3d0,9,5040834,5051689,ACCEPTED,,5051728,ok,10.894
bot-002,01a0b92e-f945-71b9-8edc-67c979d6c910,10,5543135,5551430,ACCEPTED,,5551449,ok,8.314
bot-002,01a0b92e-fb3d-7378-86b9-48b13978bd50,11,6046989,6051862,ACCEPTED,,6051936,ok,4.947
bot-002,01a0b92e-fd35-76c1-a8dc-4c0e254d57f3,12,6551632,6601601,ACCEPTED,,6601661,ok,50.029
bot-002,01a0b92e-ff37-7517-b108-09f5f8a5333c,13,7065242,7101562,ACCEPTED,,7101606,ok,36.364
bot-002,01a0b92f-013a-7471-a661-feef918308c1,14,7580302,7601377,ACCEPTED,,7601438,ok,21.136
bot-002,01a0b92f-033c-749a-b585-668b0423c636,15,8094224,8101562,ACCEPTED,,8101617,ok,7.393
bot-002,01a0b92f-0538-75e0-87c8-c31156a9aaa9,16,8601880,8651648,ACCEPTED,,8651685,ok,49.805
bot-002,01a0b92f-0734-77e7-8caf-fe0dcf6ad0c2,17,9110756,9151759,ACCEPTED,,9151801,ok,41.045
bot-002,01a0b92f-0936-73a9-a92e-cb4bed90b402,18,9623777,9651513,ACCEPTED,,9651560,ok,27.783
bot-002,01a0b92f-0b2a-716d-ae12-9dce820d3a3c,19,10124686,10151756,ACCEPTED,,10151811,ok,27.125
bot-002,01a0b92f-0d20-72c0-8043-649c6b16fa15,20,10626396,10651720,ACCEPTED,,10651766,ok,25.370
bot-002,01a0b92f-0f22-7126-b262-61835d5910d2,21,11139899,11151703,ACCEPTED,,11151722,ok,11.823
bot-002,01a0b92f-1122-737d-a305-9c6607bd30bd,22,11651889,11701459,ACCEPTED,,11701497,ok,49.608
bot-002,01a0b92f-1318-77ef-a03b-e5fde1a38331,23,12154079,12201889,ACCEPTED,,12201931,ok,47.852
bot-002,01a0b92f-151c-7699-841f-1f47ea37655a,24,12670238,12701876,ACCEPTED,,12701924,ok,31.686
bot-002,01a0b92f-1712-77e3-9c80-dae8dbeda4c2,25,13171846,13201546,ACCEPTED,,13201591,ok,29.745
bot-002,01a0b92f-1915-7508-aefd-e876e8e552c6,26,13687018,13701949,ACCEPTED,,13701968,ok,14.950
bot-002,01a0b92f-1b0c-710c-a771-edb5fa2c5e3e,27,14190013,14201909,ACCEPTED,,14201936,ok,11.923
bot-002,01a0b92f-1d0b-73fe-9420-c2281d0beaa4,28,14701536,14751546,ACCEPTED,,14751596,ok,50.060
bot-002,01a0b92f-1f02-76b9-8dce-6f282925b9e2,29,15203916,15251622,ACCEPTED,,15251668,ok,47.752
bot-002,01a0b92f-20fb-74eb-b021-28de2aebc708,30,15709412,15751710,ACCEPTED,,15751764,ok,42.352
bot-002,01a0b92f-22ff-754a-a1aa-7ec815f682b3,31,16225034,16251731,ACCEPTED,,16251780,ok,26.746
bot-002,01a0b92f-24f5-768c-b4e1-a342afb432a5,32,16727581,16751610,ACCEPTED,,16751664,ok,24.083
bot-002,01a0b92f-26f9-764c-80e5-19468bd172e5,33,17242971,17251955,ACCEPTED,,17251983,ok,9.012
bot-002,01a0b92f-28ef-7537-872c-bcd8bd8164c4,34,17745053,17752081,ACCEPTED,,17752102,ok,7.049
bot-002,01a0b92f-2aea-7224-9ff2-f0560ada11ec,35,18251838,18301419,ACCEPTED,,18301454,ok,49.616
