bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0b934-6274-702f-be4e-3310fb94bda0,0,107509,109619,ACCEPTED,,109708,ok,2.199
bot-000,01a0b934-646a-73e4-a4d5-e3172eeec8b2,1,609504,612816,ACCEPTED,,612875,ok,3.371
bot-000,01a0b934-6661-748b-82ab-11182ebde689,2,1112455,1159124,ACCEPTED,,1159170,ok,46.715
bot-000,01a0b934-685a-7442-aae9-8097fee88ced,3,1617233,1659104,ACCEPTED,,1659157,ok,41.924
bot-000,01a0b934-6a51-7353-9fed-3033b7ba4e95,4,2120470,2158952,ACCEPTED,,2159000,ok,38.530
bot-000,01a0b934-6c47-73a7-980b-54388ba02107,5,2623025,2659136,ACCEPTED,,2659181,ok,36.156
bot-000,01a0b934-6e3c-7663-9758-973dd7dbbf1a,6,3123812,3158957,ACCEPTED,,3159014,ok,35.202
bot-000,01a0b934-703f-7094-af84-87c0381ccd52,7,3639214,3659344,ACCEPTED,,3659394,ok,20.180
bot-000,01a0b934-7236-70d8-9687-25c06dd68063,8,4141528,4159344,ACCEPTED,,4159401,ok,17.873
bot-000,01a0b934-743b-70bc-89be-ffae0a5791c4,9,4658276,4659021,ACCEPTED,,4659058,ok,0.782
bot-000,01a0b934-763f-7574-82a5-5d935607e3d1,10,5174435,5209011,ACCEPTED,,5209036,ok,34.601
bot-000,01a0b934-7836-700d-910f-832c58af124d,11,5678008,5709171,ACCEPTED,,5709198,ok,31.190
bot-000,01a0b934-7a2d-71b3-9d3a-3ec6cbc7f359,12,6181148,6209173,ACCEPTED,,6209211,ok,28.063
bot-000,01a0b934-7c23-7726-80af-1d15ff58b6ef,13,6682669,6709303,ACCEPTED,,6709347,ok,26.678
bot-000,01a0b934-7e26-742d-865d-f9e78b0c5188,14,7197574,7208994,ACCEPTED,,7209034,ok,11.460
bot-000,01a0b934-801c-716a-8bcb-d4cf22acf0b8,15,7699461,7709321,ACCEPTED,,7709367,ok,9.906
bot-000,01a0b934-8215-7027-872b-8ba807706fe6,16,8204525,8209274,ACCEPTED,,8209319,ok,4.794
bot-000,01a0b934-8417-7080-b9a3-fffcd189fc9c,17,8719017,8759332,ACCEPTED,,8759369,ok,40.352
bot-000,01a0b934-860d-74b6-aa5e-8b71a11471a4,18,9221136,9258988,ACCEPTED,,9259034,ok,37.898
bot-000,01a0b934-8811-7656-9b40-68ca06332b7a,19,9737074,9758979,ACCEPTED,,9759018,ok,21.944
bot-000,01a0b934-8a15-77fc-98b8-f95346c81f11,20,10252856,10259096,ACCEPTED,,10259144,ok,6.288
bot-001,01a0b934-6384-77ad-8905-b1a1ae90d163,0,379832,411744,ACCEPTED,,411801,ok,31.969
bot-001,01a0b934-657c-70ff-acd1-d266b3fdbe77,1,883880,909314,ACCEPTED,,909396,ok,25.516
bot-001,01a0b934-6774-7541-83a3-f1fc2adc74e1,2,1387590,1409136,ACCEPTED,,1409182,ok,21.592
bot-001,01a0b934-696d-7024-a685-eb08e9a8027b,3,1892358,1908987,ACCEPTED,,1909032,ok,16.674
bot-001,01a0b934-6b62-757b-9972-e1ae69ab8056,4,2393872,2409451,ACCEPTED,,2409503,ok,15.631
bot-001,01a0b934-6d58-7682-9a3c-4ce409f75664,5,2895583,2909151,ACCEPTED,,2909192,ok,13.609
bot-001,01a0b934-6f5a-750f-95c1-38de28834c4f,6,3409865,3459018,ACCEPTED,,3459078,ok,49.213
bot-001,01a0b934-7151-76b1-abe2-c7d633181f4d,7,3912811,3959361,ACCEPTED,,3959407,ok,46.596
bot-001,01a0b934-7349-738e-bf53-0b718509d0b5,8,4416308,4459369,ACCEPTED,,4459412,ok,43.104
bot-001,01a0b934-754c-7660-ba1e-7ed6eb1ae85e,9,4931608,4959019,ACCEPTED,,4959064,ok,27.456
bot-001,01a0b934-7741-73bd-ac3b-85c2638a5207,10,5432942,5459092,ACCEPTED,,5459133,ok,26.191
bot-001,01a0b934-7939-7140-95aa-d61e3da3cc63,11,5936335,5959036,ACCEPTED,,5959135,ok,22.800
bot-001,01a0b934-7b30-71c7-81e1-bc717c2acacf,12,6439831,6459237,ACCEPTED,,6459278,ok,19.447
bot-001,01a0b934-7d33-72f9-adf7-171ef6302b5c,13,6954921,6959264,ACCEPTED,,6959306,ok,4.385
bot-001,01a0b934-7f37-77db-ae43-e7e3b3317df5,14,7471112,7509238,ACCEPTED,,7509280,ok,38.168
bot-001,01a0b934-8131-774f-98ea-c9c0d6d300f7,15,7976320,8009187,ACCEPTED,,8009232,ok,32.912
bot-001,01a0b934-8333-74ee-947b-2ae83398fd7b,16,8490694,8509169,ACCEPTED,,8509210,ok,18.516
