bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0b92a-c428-71e2-a53c-c5ab78248bdf,0,44229,93791,ACCEPTED,,93850,ok,49.621
bot-000,01a0b92a-c450-7774-9465-d1c795cd5d7d,1,85039,93874,ACCEPTED,,93889,ok,8.850
bot-000,01a0b92a-c47e-77a6-a68c-871ac75499ad,2,130103,143794,ACCEPTED,,143851,ok,13.748
bot-000,01a0b92a-ca9a-7681-886a-ac2e39af0eaf,0,1694207,1744151,ACCEPTED,,1744194,ok,49.987
bot-000,01a0b92a-cab9-71ad-a08f-3e01a2416924,1,1725857,1744209,ACCEPTED,,1744219,ok,18.362
bot-000,01a0b92a-cae7-77cf-8179-cb42fa1fa743,2,1771573,1794205,ACCEPTED,,1794245,ok,22.672
bot-000,01a0b92a-d10c-74f1-8389-4637b40671db,0,3344183,3393737,ACCEPTED,,3393765,ok,49.582
bot-000,01a0b92a-d139-722b-97fa-bc4abd762a0e,1,3389058,3393783,ACCEPTED,,3393794,ok,4.736
bot-000,01a0b92a-d166-7346-8906-92948136a80e,2,3434506,3443931,ACCEPTED,,3443986,ok,9.480
bot-000,01a0b92a-d77e-7714-b6c0-de409fbfe02e,0,4994326,5044149,ACCEPTED,,5044197,ok,49.871
bot-000,01a0b92a-d79c-7119-9d4e-942e24275e83,1,5024702,5044210,ACCEPTED,,5044230,ok,19.528
bot-000,01a0b92a-d7ca-77a7-9f47-6b71804ed85f,2,5070156,5094012,ACCEPTED,,5094063,ok,23.907
bot-000,01a0b92a-ddef-7219-9034-3f9452c756db,0,6643909,6693836,ACCEPTED,,6693876,ok,49.967
bot-000,01a0b92a-de16-741a-82bb-e1e34c8ac97c,1,6682490,6693898,ACCEPTED,,6693913,ok,11.423
bot-000,01a0b92a-de44-7289-a449-62e75cd57443,2,6728802,6744123,ACCEPTED,,6744153,ok,15.351
bot-001,01a0b92a-c4be-75b3-a613-90cf87e5086b,0,194079,245530,ACCEPTED,,245588,ok,51.509
bot-001,01a0b92a-c4ea-70a1-bf02-359d603646ce,1,238866,245603,ACCEPTED,,245623,ok,6.757
bot-001,01a0b92a-c515-741c-b68e-932fac226cc1,2,281809,294100,ACCEPTED,,294171,ok,12.362
bot-001,01a0b92a-cb30-73cb-9ab3-3ce1cde5856f,0,1844493,1894401,ACCEPTED,,1894452,ok,49.959
bot-001,01a0b92a-cb52-75dc-a952-614d91b8a590,1,1878368,1894469,ACCEPTED,,1894493,ok,16.125
bot-001,01a0b92a-cb80-7437-9c8c-0f92c2cfe1bc,2,1924195,1943739,ACCEPTED,,1943787,ok,19.592
bot-001,01a0b92a-d1a1-707b-ac95-85dcf1be728c,0,3493909,3544157,ACCEPTED,,3544206,ok,50.297
bot-001,01a0b92a-d1c1-767e-889e-f77555594d78,1,3525579,3544220,ACCEPTED,,3544232,ok,18.653
bot-001,01a0b92a-d1f0-73e1-9f88-1b883129424a,2,3572616,3594083,ACCEPTED,,3594135,ok,21.519
bot-001,01a0b92a-d814-716a-a5ae-1d8c7d1547de,0,5144316,5194295,ACCEPTED,,5194352,ok,50.036
