bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0b92b-09a2-7562-bfe0-258c4dd90c24,0,336034,349092,ACCEPTED,,349139,ok,13.105
bot-000,01a0b92b-0b97-74b8-a19d-c32208f35f2d,1,836825,849316,ACCEPTED,,849385,ok,12.560
bot-000,01a0b92b-0d8c-718f-ac50-3f817ee2f283,2,1337440,1348722,ACCEPTED,,1348754,ok,11.314
bot-000,01a0b92b-0f86-707e-86cf-3083ddf9578b,3,1843277,1849451,ACCEPTED,,1849476,ok,6.199
bot-000,01a0b92b-117c-77e7-8165-476b0909ab47,4,2345424,2348888,ACCEPTED,,2348919,ok,3.495
bot-000,01a0b92b-1373-72d3-b469-9cd00d237606,5,2849037,2899162,ACCEPTED,,2899195,ok,50.158
bot-000,01a0b92b-156e-7133-9770-8d91fd8e8066,6,3355569,3398777,ACCEPTED,,3398820,ok,43.251
bot-000,01a0b92b-1772-71f5-bd0f-f594d7281541,7,3871368,3898821,ACCEPTED,,3898863,ok,27.495
bot-000,01a0b92b-1977-758e-82d3-6aba0626c2c4,8,4388113,4399156,ACCEPTED,,4399172,ok,11.059
bot-000,01a0b92b-1b71-73d8-93cd-7d73d0785bf1,9,4894840,4899126,ACCEPTED,,4899157,ok,4.317
bot-000,01a0b92b-1d69-70a3-9128-5348eda9bec6,10,5398878,5450303,ACCEPTED,,5450324,ok,51.446
bot-000,01a0b92b-1f5e-7452-a105-ff3e77ab6e1d,11,5899697,5948959,ACCEPTED,,5948991,ok,49.294
bot-000,01a0b92b-215a-7646-9d7c-bbf7c048beb0,12,6407920,6449398,ACCEPTED,,6449428,ok,41.508
bot-000,01a0b92b-2352-7048-a0eb-fd154288da66,13,6911123,6949201,ACCEPTED,,6949250,ok,38.127
bot-000,01a0b92b-2555-73ca-9ec6-adb3eac04674,14,7426399,7449283,ACCEPTED,,7449339,ok,22.940
bot-000,01a0b92b-274b-74b2-8444-50e3e7532f8f,15,7928233,7948895,ACCEPTED,,7948923,ok,20.690
