bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0bf0f-82f0-77d6-8312-f0c146199eef,1,96143,96497,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-84f3-7628-906e-352c8fbea087,2,611319,611841,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-86f7-775a-87b1-c88d5be907c7,3,1127308,1127693,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-88ee-709d-aa65-a4037a052b05,4,1629585,1630031,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-8af0-77a5-aa57-9e9967cc65e9,5,2143576,2143953,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-8cf2-752b-a37a-0e0c90eb55f6,6,2657639,2658096,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-8ef4-77c7-a6ea-6959a07eba79,7,3171648,3172073,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-90ed-7131-ae74-276163dc47fe,8,3677040,3677294,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-92eb-7181-826c-378ba03bffb1,9,4187016,4187404,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-94e2-7333-bcdb-5435b7113b46,10,4689377,4689905,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-96e4-75b8-aaed-6996e017798a,11,5204175,5204553,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-98dc-77d0-8ab3-aed810d9af42,12,5708301,5708697,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-9ad4-7698-8e6c-0be43df5e315,13,6211756,6212159,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-9ccc-73db-8d45-2ca12026a041,14,6716299,6716718,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-9ec2-7013-a3f9-9bdadea60aca,15,7217957,7218323,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-a0ba-723e-925f-8b26ad674371,16,7721536,7721959,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-a2b6-72cc-a972-c515baaef88c,17,8229704,8230169,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-a4ac-71cd-8b0f-f364d3d97428,18,8731925,8732321,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-a6a2-7299-8cd5-b60a500bafbf,19,9233850,9234236,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-a89c-7107-ba64-0f368efd7b66,20,9739709,9740049,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-aa91-77f7-a33f-6e4aeeff141b,21,10240627,10241012,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ac8c-7154-aa23-df749abba05e,22,10747660,10747997,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ae8e-76e6-80e6-63e2e9704ecf,23,11261861,11262239,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-b088-7624-b22e-d82722e24e23,24,11767800,11768179,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-b285-71b5-90f3-47b7fe82e954,25,12276802,12277023,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-b483-73a7-a0ef-04bb7e380692,26,12786610,12786958,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-b67c-7538-8012-b77c066b0493,27,13291370,13291714,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-b871-76ac-8cc2-3b7f89410be0,28,13792498,13792897,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ba69-7342-97d7-d57ed594fb37,29,14296917,14297296,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-bc61-7133-a521-fe1776bf25f9,30,14800603,14800959,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-be56-7486-af29-a19a10834263,31,15301357,15301777,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-c052-71de-9293-0e7765a5032b,32,15809937,15810368,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-c247-731f-bb76-a96fe50b7bd4,33,16311332,16311728,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-c43f-76de-9ac2-aaf974abd4aa,34,16815186,16815549,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-c643-7362-adfc-9d106429d7c4,35,17331217,17331574,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-c83d-75bb-8a91-25f4a8c23db1,36,17836569,17836968,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ca35-7124-a105-f786a323d558,37,18340444,18340875,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-cc2f-7692-9fe7-2a4eae1a4c91,38,18847292,18847708,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ce27-730d-b2e3-de381c1b2c7e,39,19351058,19351452,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-d020-701a-b44e-db70400d8eb1,40,19856269,19856649,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-d222-73bc-8288-5e645a2cee4b,41,20370067,20370476,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-d41e-7574-994f-6973192b3263,42,20877650,20877955,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-d619-7593-9bc3-70254d695d95,43,21384663,21385037,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-d80e-75f1-a3d5-29ed785a400a,44,21885911,21886293,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-da04-724f-ba18-bbf8a6667c83,45,22387618,22387958,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-dc06-7744-adf0-ef48756dfacb,46,22902337,22902778,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-ddfd-73e0-8b94-510d74092a3c,47,23404393,23404814,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-dffd-7758-b1a3-82c994f5ee58,48,23917180,23917583,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-e1f4-7641-ba59-a3514bbb536b,49,24419663,24420077,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf0f-e3ea-7050-85b4-45c2aa05eab8,50,24921647,24922051,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-881a-72e8-ac59-27e749294f7f,1,1417723,1418176,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-8a1d-7258-895b-b3978bf5d0d9,2,1932507,1932887,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-8c1f-71d4-9435-fe091cea6ecf,3,2446552,2446919,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-8e21-72f4-ad63-77b566cb2fdb,4,2961304,2961696,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9017-711e-b6e5-53367885530a,5,3462489,3462866,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9215-740b-b697-56b25a754e0e,6,3972812,3973161,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-940d-7137-9a7c-8d14e9bb532d,7,4476377,4476788,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9610-77af-99b1-6283b50b1089,8,4991738,4992030,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9807-751e-b094-29db0917d76a,9,5494974,5495356,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-99fe-76ea-ac87-ba473e720215,10,5998334,5998716,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9bf6-70a3-af83-2b4e61b8a680,11,6502045,6502426,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9ded-7737-9c69-4751a8773b35,12,7004656,7005045,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-9fe4-7095-a6f6-f03fab45c80e,13,7507506,7507917,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-a1e5-7271-b8fb-40a0437d08e4,14,8020364,8020789,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-001,01a0bf0f-a3e5-766d-aaf8-70443408d3ea,15,8533059,8533476,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
