tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
350920,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350922,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350924,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350926,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350928,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350930,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350932,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350934,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350936,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350938,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350940,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350942,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350944,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350944,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350946,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350946,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350948,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350948,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350950,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350950,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350952,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350952,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350954,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350954,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350956,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350956,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350958,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350958,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350960,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350960,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350962,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350962,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350964,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350964,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350966,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350966,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350968,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350968,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350970,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350970,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350970,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-8c6e-75e9-93bb-936cf39e95cf,ACTIVE,-2165064,-250000,-1250000,0,0,0
350972,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350972,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350972,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-8c6e-75e9-93bb-936cf39e95cf,ACTIVE,-2165064,-250000,-1250000,0,0,0
350974,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-82ab-7769-983f-45fca21fae0a,ACTIVE,0,-250000,2500000,0,0,0
350974,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-878c-766d-8e01-d6e11e6ed23b,ACTIVE,2500000,250000,0,0,0,0
350974,01a0b1c2-b010-7000-8000-000000000000,01a0bf0f-8c6e-75e9-93bb-936cf39e95cf,ACTIVE,-2165064,-250000,-1250000,0,0,0
