bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0bf1d-e5b3-7733-9bd6-d9e0bf678998,1,100405,100753,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-e7a8-7162-9e62-a5f033679651,2,601824,602285,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-e99e-7620-aa1c-51a964a2350b,3,1103386,1103777,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-eb97-72d3-8ac2-a26d1c83d27e,4,1609083,1609465,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-ed90-747c-b568-6b7733e4d9b5,5,2114114,2114481,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-ef88-7208-b607-1c044283f052,6,2617903,2618403,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-f182-74d0-9efa-2877682cff32,7,3124192,3124577,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-f37d-7145-ba76-4e4a3c622020,8,3630980,3631391,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-f574-736c-b5a2-8982799926c6,9,4133582,4134045,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-f76f-71ac-baea-ca11f4400888,10,4640366,4640724,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-f967-7078-854b-e38869b33c35,11,5144592,5144998,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-fb60-73ef-9311-4983c5d7bc16,12,5649487,5649907,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-fd57-75e5-ac60-f8441d9574e8,13,6152783,6153177,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1d-ff4f-707b-b2db-9595fbee3802,14,6657102,6657507,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-0148-7357-b335-d91ddaa27b21,15,7161455,7161887,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-0341-73be-ad28-e3939a7ee412,16,7666759,7667146,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
