tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
358616,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358618,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358620,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358622,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358624,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358626,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358628,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358630,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358632,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358634,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358636,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358638,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358640,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358642,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358644,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358646,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358648,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358650,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
358652,01a0b1c2-b010-7000-8000-000000000000,01a0bf1d-e571-7539-b4a2-e1297e71266d,ACTIVE,0,-250000,2500000,0,0,0
