bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0bf1e-9fd5-7310-93c8-81ac8cd1465e,1,59236,59547,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-a1d0-75a9-94d0-fb50f90fbe43,2,566441,566780,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-a3c8-77b8-9e80-7e57d33b7a65,3,1070094,1070503,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-a5c3-70bf-934e-10ad1b7319be,4,1576771,1577147,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-a7ba-706c-8881-8bc806f7106e,5,2080132,2080509,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-a9b4-7738-aad2-c0f6977b346c,6,2586497,2586866,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-abac-7594-af91-33cb094e7596,7,3089844,3090270,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-ada3-737f-a5fc-5eb4bc9bb8ce,8,3592842,3593161,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-af97-7020-934d-3f5d52001fb5,9,4093615,4093853,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-b193-7055-a9fa-c7c8792e7a43,10,4600692,4600940,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-b38b-71c9-bb0f-50399e92f808,11,5104635,5105009,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-b584-76f1-9a0e-7390d8c49505,12,5610482,5610789,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-b782-7682-be45-53b8f2c6fe36,13,6119636,6120014,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-b97b-7777-b867-d403ba98b77d,14,6625231,6625534,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-bb75-7433-b7b3-8468a063f361,15,7131156,7131588,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-bd70-77a0-943e-60f3c963d3be,16,7637649,7638058,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-bf6b-7339-aefb-cef63b1b7980,17,8144732,8145095,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-c164-73ea-88e1-2a34d8c8707a,18,8650047,8650443,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-c360-7584-98ab-aab05a799f2d,19,9157897,9158352,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-c55b-763c-80a9-89c85ddb3b91,20,9664711,9665154,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-c754-711d-a332-db27d6d87876,21,10170283,10170637,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-c94c-70bc-afc1-c63378acbe5e,22,10674131,10674527,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-cb46-77c6-b47c-ff39ca5516cc,23,11179669,11180035,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-cd3f-740b-aaaa-bc71aecac249,24,11684813,11685236,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-cf37-7302-997e-6096cceb898b,25,12188659,12189052,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-d12f-704b-928d-8112d3195cee,26,12693399,12693661,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-d326-750f-ab6b-571d4d2b1e5a,27,13196611,13196866,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-d51f-751a-9a31-18f8f853b090,28,13700841,13701092,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-d719-77d0-9a54-bfb1cc68f334,29,14207443,14207813,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-d914-77f7-9bf9-0d6b042cfdca,30,14713776,14714221,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-db09-7143-a200-689bbf04a76c,31,15215596,15215970,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-dd03-705f-93a4-0e383221e5b3,32,15721221,15721651,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-defa-77cc-b940-262d6a7b8002,33,16224073,16224483,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-e0f4-7190-97a4-7b91a2180fb7,34,16730249,16730703,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-e2ef-711b-96e7-8ee374ee6085,35,17236655,17237085,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-e4e6-7379-91a9-e26ae7bf7fed,36,17739837,17740229,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-e6df-7172-81b9-0a070d1e1dc6,37,18245543,18245919,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-e8d8-7133-8b32-e22f5e6663ed,38,18749640,18750025,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-eacf-7670-b1b5-d38149454915,39,19253205,19253590,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-ecc9-70da-9881-36701481a3fa,40,19759089,19759521,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-eec1-76d4-8243-c0ad7d985b72,41,20263104,20263455,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-f0b8-7421-9eea-283a2af150ce,42,20766419,20766818,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-f2b1-7228-98db-ae289df0d3cc,43,21271489,21271913,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-f4a9-7718-8840-27b28882c772,44,21775482,21775928,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-f6a1-763d-9e8d-c1f1941a613f,45,22279234,22279588,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-f899-74ef-b36f-ad1c58775ce1,46,22783568,22783965,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-fa90-7675-b224-53ceb6258192,47,23285829,23286229,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-fc88-77e0-962e-64f2fc2c9df9,48,23789637,23790010,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1e-fe7f-73b0-88c6-fda020bd28a9,49,24293579,24293862,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0079-7213-9250-a0ad3fbdd0cb,50,24799008,24799323,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0271-72a3-847a-fef4f426f661,51,25302937,25303308,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0469-7767-a783-4f145539f8bb,52,25806856,25807307,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0662-7633-b6dd-24898834d04f,53,26312597,26312998,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-085c-715f-a17b-1bce76df5764,54,26818017,26818408,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0a54-71bc-a9ac-b74f224c9aba,55,27322038,27322408,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0c4d-70a2-9e9b-af5c081a9f6c,56,27827260,27827686,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-0e46-7533-86bc-00c11a78440d,57,28332480,28332875,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-103f-70b7-823c-c35a51bfa013,58,28836923,28837299,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1239-7710-9e0c-7e26d668ef23,59,29343256,29343649,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1430-7690-b5e9-7befde5d1236,60,29846300,29846716,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1627-74e7-913a-ade744fd8b3b,61,30349389,30349823,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1823-71a3-b9f5-9f4d3309e319,62,30856728,30857146,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1a1b-708f-b295-9b1031c20ad5,63,31360794,31361197,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1c13-74a7-b3b5-f50d8771bca0,64,31864774,31865168,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-1e0e-71bf-a03d-a73b4a643be7,65,32371876,32372318,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-2007-757f-abe8-3ea8b17e347b,66,32876880,32877266,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-21fe-77b1-a22a-1134c96b8ed6,67,33380539,33381003,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-23fb-7448-a13f-eff8bd7ce9ae,68,33888884,33889285,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-25f3-706b-ac53-6c6dbf440e58,69,34393294,34393687,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-27ed-7569-90e3-cda9c666a295,70,34898906,34899217,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-29e6-767a-9e85-63d407687b3e,71,35403946,35404305,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-2bde-71bc-bcfb-518401f0c0cb,72,35908276,35908690,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-2dd8-75f9-9405-47384784000c,73,36413649,36414037,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-2fd2-722d-a704-7d429514e12f,74,36920438,36920798,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-31cc-726a-9791-ec3dc8368bfb,75,37426216,37426673,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-33c6-7230-928f-fd19c3ac40dc,76,37931859,37932295,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-35be-76bb-b9c1-2877989e4850,77,38436085,38436482,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-37b8-7442-96ae-a8e88da27e94,78,38942526,38942929,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-39b3-7017-9efc-7a43cb49aa57,79,39449127,39449486,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-3bad-75e5-ad76-b835daf7210e,80,39954879,39955266,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-3da5-71b0-a9c7-5018741d33b9,81,40459316,40459683,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-3f9e-739e-86e8-9933d87b9260,82,40964430,40964873,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4199-723e-b6a8-db1eb112493f,83,41471572,41471924,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4391-7419-9339-9572faa07301,84,41975003,41975446,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4589-760a-b817-50d712814d22,85,42479473,42479931,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4784-70af-a20b-3448a873e766,86,42985821,42986272,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-497f-70ba-bdea-e4c2023a25b2,87,43493244,43493526,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4b83-7096-8ebc-4ae0d6377729,88,44009185,44009613,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4d7b-7364-ad70-30b4e299ee77,89,44513624,44514027,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf1f-4f76-71f3-aa6b-12b5b3381f1e,90,45019884,45020277,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
