tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
359570,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359572,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359574,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359576,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359578,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359580,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359582,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359584,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359586,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359588,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359590,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359592,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359594,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359596,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359598,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359600,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359602,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359604,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359606,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359608,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359610,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359612,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359614,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359616,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359618,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359620,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359622,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359624,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359626,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359628,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
359630,01a0b1c2-b010-7000-8000-000000000000,01a0bf1e-9fc5-738e-b1bb-cef8d216006a,ACTIVE,0,-250000,2500000,0,0,0
