bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0bf20-18d7-70d9-b1fe-3349aac4c8fb,1,543487,543847,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-1acf-71c7-aa4f-29a201c25605,2,1047803,1048180,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-1cc8-7443-9086-2ce10440b2f9,3,1552457,1552825,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-1ebe-74b0-b3ef-4ceb698e886d,4,2054476,2054844,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-20b7-755c-9cab-96c78101e94d,5,2559499,2559882,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-22af-7014-9f99-bcb9ce48281e,6,3064103,3064328,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-24a6-71f3-a691-ec13bfd22ba1,7,3567030,3567315,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-26a1-70ed-b0bc-1d8c61f03572,8,4073810,4074069,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-2896-751a-be77-91352c1e945e,9,4574755,4575059,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-2a8f-7565-b1c7-1dab3b42466d,10,5079371,5079746,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-2c86-768c-8fca-6c65c9ab641c,11,5582473,5582828,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-2e7b-7215-aae4-02ffdc1e7174,12,6083969,6084332,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3076-711a-9264-b669b4a71761,13,6590302,6590692,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3277-7684-9a85-cd5cb8f3d4d3,14,7103348,7103827,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3477-72c1-a23e-c9a6eff078c0,15,7615555,7616067,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-366c-729a-99e9-10df7222ad8c,16,8116629,8117007,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-386f-7285-9d3b-bbf7818cc0af,17,8632164,8632680,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3a70-7052-8ae5-46b48ee20fdd,18,9144617,9145045,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3c66-7477-9431-35a1a3e8739a,19,9646900,9647291,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-3e5d-7303-919e-d5e8ec0a590f,20,10150138,10150487,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-4054-75d5-ae07-cfae444c3670,21,10653037,10653437,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-424e-7211-b4c8-54616b316b71,22,11158393,11158770,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-4446-7548-9a48-e36470b5dd5d,23,11662641,11662987,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-463b-7207-871b-7895f8151e8e,24,12163916,12164156,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-4838-7095-b93a-40467e88903f,25,12672749,12672954,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
bot-000,01a0bf20-4a33-710c-bc21-b2105c7e888d,26,13179445,13179793,REJECTED,UNKNOWN_COMMAND_TYPE,,ok,
