tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
361490,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361492,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361494,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361496,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361498,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361500,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361502,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361504,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361506,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361508,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361510,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361512,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361514,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361516,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361518,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361520,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361522,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361524,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361526,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361528,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361530,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361532,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361534,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361536,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361538,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361540,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361542,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361544,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361546,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361548,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361550,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361552,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361554,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361556,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361558,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361560,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361562,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361564,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361566,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361568,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361570,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361572,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361574,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361576,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361576,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361578,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361578,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361580,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361580,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361582,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361582,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361584,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361584,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361586,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361586,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361588,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361588,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361590,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361590,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361592,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361592,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361594,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
361594,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-2791-70c8-8f60-0a9e2baee801,ACTIVE,-2165064,-250000,1250000,0,0,0
361596,01a0b1c2-b010-7000-8000-000000000000,01a0bf20-16f7-7753-bb1f-e6a8f0fcc504,ACTIVE,0,-250000,2500000,0,0,0
