tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
100,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1000000,0,0,140000,0,0
122,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1007000,0,0,140000,0,0
144,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1014000,0,0,140000,0,0
166,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1021000,0,0,140000,0,0
188,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1028000,0,0,140000,0,0
210,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1035000,0,0,140000,0,0
232,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1042000,0,0,140000,0,0
254,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1049000,0,0,140000,0,0
276,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1056000,0,0,140000,0,0
298,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1063000,0,0,140000,0,0
320,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1070000,0,0,140000,0,0
342,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1077000,0,0,140000,0,0
364,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1084000,0,0,140000,0,0
386,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1091000,0,0,140000,0,0
408,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1098000,0,0,140000,0,0
430,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1105000,0,0,140000,0,0
452,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1112000,0,0,140000,0,0
474,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1119000,0,0,140000,0,0
496,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1126000,0,0,140000,0,0
518,aaaa0000-0000-7000-8000-000000000001,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1133000,0,0,140000,0,0
