tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
100,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1000001,0,0,140000,0,0
100,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
122,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1007001,0,0,140000,0,0
122,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
144,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1014001,0,0,140000,0,0
144,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
166,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1021001,0,0,140000,0,0
166,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
188,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1028001,0,0,140000,0,0
188,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
210,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1035001,0,0,140000,0,0
210,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
232,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1042001,0,0,140000,0,0
232,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
254,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1049001,0,0,140000,0,0
254,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
276,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1056001,0,0,140000,0,0
276,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
298,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1063001,0,0,140000,0,0
298,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
320,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1070001,0,0,140000,0,0
320,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
342,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1077001,0,0,140000,0,0
342,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
364,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1084001,0,0,140000,0,0
364,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
386,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1091001,0,0,140000,0,0
386,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
408,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1098001,0,0,140000,0,0
408,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
430,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1105001,0,0,140000,0,0
430,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
452,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1112001,0,0,140000,0,0
452,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
474,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1119001,0,0,140000,0,0
474,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
496,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1126001,0,0,140000,0,0
496,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
518,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000a,ACTIVE,0,0,1133001,0,0,140000,0,0
518,bbbb0000-0000-7000-8000-000000000002,01a0c000-0000-7000-8000-00000000000b,ACTIVE,0,0,5000,0,0,0,0,0
