tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1574602,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574602,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574602,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-250000,2500000,0,0,0,0,0
1574604,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574604,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574604,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-250000,2500000,0,0,0,0,0
1574606,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574606,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574606,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-250000,2500000,0,0,0,0,0
1574608,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574608,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574608,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-249968,2499739,0,448,-3471,0,0
1574610,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574610,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574610,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-249859,2499137,0,1360,-6861,0,0
1574612,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574612,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574612,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-249598,2498213,0,3107,-10000,0,0
1574614,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574614,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574614,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-249088,2497012,0,5830,-12644,0,0
1574616,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574616,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574616,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-248252,2495590,0,9264,-14681,0,0
1574618,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574618,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574618,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-247035,2494013,0,13148,-16093,0,0
1574620,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574620,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574620,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-245418,2492334,0,17182,-16985,0,0
1574622,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574622,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574622,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-243392,2490605,0,21298,-17343,0,0
1574624,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574624,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574624,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-240952,2488881,0,25426,-17162,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574626,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-238104,2487215,0,29495,-16443,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574628,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-234858,2485661,0,33435,-15199,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-41471799f490,LINGERING,2500000,250000,0,0,0,0,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-4a7f-7547-ac98-414ca8ab514d,LINGERING,1250000,250000,-2165064,0,0,0,0,0
1574630,01a0b1c2-b010-7000-8000-000000000000,01a0d778-828d-7281-9b0b-c160699881ac,ACTIVE,0,-231232,2484269,0,37179,-13452,0,0
