bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0d837-19d3-72bf-a0a7-96a59a66fd71,1,328780,336842,ACCEPTED,,,ok,
bot-000,01a0d837-1a0e-7385-88fe-e8e7663283f7,2,386944,436647,ACCEPTED,,,ok,
bot-000,01a0d837-1a49-77d2-bca0-ab2ce25ab40c,3,446487,486887,ACCEPTED,,,ok,
bot-000,01a0d837-1a88-76ef-af5e-fb877809cd7d,4,508972,536757,ACCEPTED,,,ok,
bot-000,01a0d837-1abf-7372-b6ec-223fc6995257,5,564026,586685,ACCEPTED,,,ok,
bot-000,01a0d837-1af4-70d9-92a8-f95348ada2cf,6,617074,637041,ACCEPTED,,,ok,
bot-000,01a0d837-1b28-719f-b662-b67153fce768,7,669073,686787,ACCEPTED,,,ok,
bot-000,01a0d837-1b5d-716c-8765-7d7b8729efaf,8,721997,736817,ACCEPTED,,,ok,
bot-000,01a0d837-1b93-75fc-8898-4813684e17ab,9,776129,786851,ACCEPTED,,,ok,
bot-000,01a0d837-1bc6-7790-babf-a362027782b1,10,827008,836569,ACCEPTED,,,ok,
bot-000,01a0d837-1bfa-7736-b813-de697ab1e159,11,879576,886620,ACCEPTED,,,ok,
bot-000,01a0d837-1c38-7587-96b1-6fff43bb94b2,12,940903,987077,ACCEPTED,,,ok,
bot-000,01a0d837-1c72-7519-847a-d8cc3b2c5578,13,999046,1036966,ACCEPTED,,,ok,
bot-000,01a0d837-1cad-75bc-92d2-8c79dc7943f0,14,1058688,1086690,ACCEPTED,,,ok,
bot-000,01a0d837-1ce8-767b-b02e-d3f165ad5401,15,1117521,1136682,ACCEPTED,,,ok,
bot-000,01a0d837-1d23-74bf-ad5a-434dbe83a517,16,1176479,1186607,ACCEPTED,,,ok,
bot-000,01a0d837-1d5e-74d7-8fc0-2e86e29c0e75,17,1235215,1236504,ACCEPTED,,,ok,
bot-000,01a0d837-1d92-718a-b631-6bbff7bb4524,18,1287105,1336617,ACCEPTED,,,ok,
bot-000,01a0d837-1dcc-71a2-9055-eb854557f5de,19,1345160,1386694,ACCEPTED,,,ok,
bot-000,01a0d837-1e00-747f-a27c-a8930429f97b,20,1397010,1436791,ACCEPTED,,,ok,
bot-000,01a0d837-1e32-75d6-a8b0-8a2f5f7f6865,21,1447659,1487038,ACCEPTED,,,ok,
bot-000,01a0d837-1e74-7726-8ea5-22f383a03db9,22,1513171,1536837,ACCEPTED,,,ok,
bot-000,01a0d837-1ead-70e2-854b-cabfbed0f0b1,23,1570827,1586916,ACCEPTED,,,ok,
bot-000,01a0d837-1ee2-773e-8d5f-b20826139063,24,1623688,1636637,ACCEPTED,,,ok,
bot-000,01a0d837-1f1d-73dd-ba43-d75547517f69,25,1682030,1686871,ACCEPTED,,,ok,
bot-000,01a0d837-1f5c-75d4-a52d-a4a0219ee3d5,26,1745488,1786870,ACCEPTED,,,ok,
bot-000,01a0d837-1f92-721a-a3e5-0737ef4ca85a,27,1799072,1836731,ACCEPTED,,,ok,
bot-000,01a0d837-1fc9-77a4-b51d-f6745e4663a0,28,1854115,1886721,ACCEPTED,,,ok,
bot-000,01a0d837-1ffd-70c4-9fc1-b5c29342b03e,29,1906204,1936890,ACCEPTED,,,ok,
bot-000,01a0d837-2032-750f-a93e-cabcd018284d,30,1959114,1986736,ACCEPTED,,,ok,
bot-000,01a0d837-2068-75f5-92c9-565164ab9822,31,2013660,2036746,ACCEPTED,,,ok,
bot-000,01a0d837-20a6-77f6-bb23-f09fe04b490c,32,2075261,2087115,ACCEPTED,,,ok,
bot-000,01a0d837-20dc-7430-8dfa-b1e8b7b52a04,33,2129855,2136693,ACCEPTED,,,ok,
bot-000,01a0d837-2115-70b4-b0e9-d477f53b373c,34,2186812,2236732,ACCEPTED,,,ok,
bot-000,01a0d837-214f-75ca-a1fd-05197748f142,35,2244910,2286804,ACCEPTED,,,ok,
bot-000,01a0d837-2184-7687-a514-4e1f0f281841,36,2297338,2336803,ACCEPTED,,,ok,
bot-000,01a0d837-21c4-7240-982e-ff275e959da4,37,2361154,2386787,ACCEPTED,,,ok,
bot-000,01a0d837-21fd-7608-9129-b5b091616fcf,38,2418365,2437128,ACCEPTED,,,ok,
bot-000,01a0d837-2232-714f-91a9-1024d6c8b904,39,2471214,2486711,ACCEPTED,,,ok,
bot-000,01a0d837-226d-73fc-b797-90e1f1c7d3f7,40,2530066,2536875,ACCEPTED,,,ok,
bot-000,01a0d837-22a6-760b-8949-f2b687bb7764,41,2586988,2636967,ACCEPTED,,,ok,
bot-000,01a0d837-22e2-74fe-8f24-fc58f05eb2a0,42,2647715,2687004,ACCEPTED,,,ok,
bot-000,01a0d837-231d-7726-840e-12f9123a91f3,43,2706624,2736801,ACCEPTED,,,ok,
bot-000,01a0d837-2358-751c-9527-25b8bc63d03b,44,2765500,2786545,ACCEPTED,,,ok,
bot-000,01a0d837-2391-75bd-8bbe-afae31c75b8a,45,2821988,2836569,ACCEPTED,,,ok,
bot-000,01a0d837-23c6-771c-9e90-d9aa5c01df28,46,2875056,2886814,ACCEPTED,,,ok,
bot-000,01a0d837-23fa-7120-923e-77d50668fa20,47,2926970,2936495,ACCEPTED,,,ok,
bot-000,01a0d837-242f-7490-8e86-68189bdc70f9,48,2980075,2986712,ACCEPTED,,,ok,
bot-000,01a0d837-2463-73ca-8d03-40e53ef9a3a9,49,3032046,3036754,ACCEPTED,,,ok,
bot-000,01a0d837-2497-7640-ab20-056dba58e1c7,50,3084103,3086673,ACCEPTED,,,ok,
bot-000,01a0d837-24d1-743b-890d-8ad8d5376623,51,3142158,3186842,ACCEPTED,,,ok,
bot-000,01a0d837-2508-76e2-b571-d034f2875f1f,52,3197131,3236943,ACCEPTED,,,ok,
bot-000,01a0d837-253b-75f5-b1c6-8046e2ab260c,53,3248066,3286761,ACCEPTED,,,ok,
bot-000,01a0d837-2571-736b-ad0a-656d41fa2ad1,54,3301984,3336959,ACCEPTED,,,ok,
bot-000,01a0d837-25a5-771a-8523-25e21ed559aa,55,3354044,3386782,ACCEPTED,,,ok,
bot-000,01a0d837-25df-727e-b1ae-ea1108acea85,56,3412877,3437156,ACCEPTED,,,ok,
bot-000,01a0d837-261a-7057-a906-078d2bf5eba2,57,3471733,3486532,ACCEPTED,,,ok,
bot-000,01a0d837-2655-731a-8c1a-64371d1a9e72,58,3530599,3536798,ACCEPTED,,,ok,
bot-000,01a0d837-268d-74c2-be31-9d7872bb8bc8,59,3586721,3636991,ACCEPTED,,,ok,
bot-000,01a0d837-26c7-72eb-9688-5a975f29a35c,60,3644071,3687000,ACCEPTED,,,ok,
bot-000,01a0d837-2706-73db-982f-dc25b766f739,61,3707138,3736663,ACCEPTED,,,ok,
bot-000,01a0d837-2745-7503-9da3-6ad1ce3c57e9,62,3770598,3786860,ACCEPTED,,,ok,
bot-000,01a0d837-2785-77f0-be35-2dc9a2c174ce,63,3833975,3836544,ACCEPTED,,,ok,
bot-000,01a0d837-27ba-7446-8dfd-b856af737bd1,64,3887033,3936979,ACCEPTED,,,ok,
bot-000,01a0d837-27f0-70e3-9395-a9a408552ee4,65,3941050,3986896,ACCEPTED,,,ok,
bot-000,01a0d837-2822-74b7-a33e-38e5a9238b8f,66,3991887,4036823,ACCEPTED,,,ok,
bot-000,01a0d837-2862-7399-86dd-349967f310bb,67,4055521,4086920,ACCEPTED,,,ok,
bot-000,01a0d837-28a1-740c-bc77-21c6a4e2f9f5,68,4118770,4136607,ACCEPTED,,,ok,
bot-000,01a0d837-28e1-707c-a496-365d200a6a7a,69,4182147,4186739,ACCEPTED,,,ok,
bot-000,01a0d837-2920-729b-bff7-c7e9b4bd3309,70,4245782,4286973,ACCEPTED,,,ok,
bot-000,01a0d837-2960-753b-b91a-2770e980026e,71,4309099,4336647,ACCEPTED,,,ok,
bot-000,01a0d837-299e-765b-9de3-6b9ad28c8a3b,72,4371861,4387275,ACCEPTED,,,ok,
bot-000,01a0d837-29dd-72e4-90c4-1a96f181d17c,73,4434596,4436656,ACCEPTED,,,ok,
bot-000,01a0d837-2a12-742b-a112-dc6068819846,74,4487074,4536745,ACCEPTED,,,ok,
bot-000,01a0d837-2a4c-772a-9103-7a4f91d9b2d6,75,4545304,4586645,ACCEPTED,,,ok,
bot-000,01a0d837-2a8c-76f0-8e3e-56bedbeebf93,76,4609552,4636787,ACCEPTED,,,ok,
bot-000,01a0d837-2acc-77c3-ba5d-093eed9dff5f,77,4673279,4687065,ACCEPTED,,,ok,
bot-000,01a0d837-2b0b-7358-bf96-5c2f34a7a94a,78,4736693,4786613,ACCEPTED,,,ok,
bot-000,01a0d837-2b4a-7294-88c4-700203544cf0,79,4799608,4836883,ACCEPTED,,,ok,
bot-000,01a0d837-2b89-7732-970a-5fa10b58c4aa,80,4862547,4886897,ACCEPTED,,,ok,
bot-000,01a0d837-2bc8-7294-a74f-39e932326dc7,81,4925714,4936934,ACCEPTED,,,ok,
bot-000,01a0d837-2c05-7545-9777-6bc7a1c8232d,82,4986743,5036745,ACCEPTED,,,ok,
bot-000,01a0d837-2c46-77eb-b787-510a099abc69,83,5051141,5086731,ACCEPTED,,,ok,
bot-000,01a0d837-2c86-7368-bc22-9cd80d18ead2,84,5114935,5136882,ACCEPTED,,,ok,
bot-000,01a0d837-2cc5-717a-b05c-030bf3de1e58,85,5178000,5186993,ACCEPTED,,,ok,
bot-000,01a0d837-2d03-745b-a7ac-0e7a8a945868,86,5240821,5286896,ACCEPTED,,,ok,
bot-000,01a0d837-2d43-7434-9069-dcbd021a3406,87,5304268,5337070,ACCEPTED,,,ok,
