tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1579468,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-250000,2500000,0,0,0,0,0
1579470,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-250000,2500000,0,0,0,0,0
1579472,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-250000,2500000,0,0,0,0,0
1579474,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-249990,2499913,0,191,-1740,0,0
1579476,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-249927,2499480,0,822,-5183,0,0
1579478,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-249754,2498713,0,2108,-8478,0,0
1579480,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-249380,2497644,0,4373,-11389,0,0
1579482,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-248715,2496324,0,7466,-13747,0,0
1579484,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-247692,2494818,0,11183,-15450,0,0
1579486,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-246277,2493183,0,15150,-16605,0,0
1579488,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-244457,2491472,0,19234,-17232,0,0
1579490,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-242224,2489739,0,23365,-17320,0,0
1579492,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-239579,2488037,0,27472,-16869,0,0
1579494,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-236530,2486421,0,31485,-15886,0,0
1579496,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-233091,2484942,0,35336,-14387,0,0
1579498,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-229284,2483649,0,38958,-12399,0,0
1579500,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-225137,2482590,0,42290,-9956,0,0
1579502,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-220681,2481806,0,45274,-7098,0,0
1579504,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-215957,2481336,0,47860,-3876,0,0
1579506,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-211008,2481211,0,50003,-343,0,0
1579508,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-205880,2481459,0,51668,3439,0,0
1579510,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-200623,2482100,0,52824,7405,0,0
1579512,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-195290,2483146,0,53453,11489,0,0
1579514,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-189934,2484605,0,53544,15620,0,0
1579516,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-184610,2486475,0,53105,19728,0,0
1579518,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-179363,2488751,0,52229,23767,0,0
1579520,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-174228,2491425,0,51025,27721,0,0
1579522,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-169233,2494488,0,49575,31593,0,0
1579524,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-164397,2497933,0,47941,35390,0,0
1579526,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-159735,2501752,0,46169,39124,0,0
1579528,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-155258,2505941,0,44293,42808,0,0
1579530,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-150975,2510495,0,42339,46451,0,0
1579532,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-146892,2515411,0,40325,50062,0,0
1579534,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-143014,2520687,0,38267,53647,0,0
1579536,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-139344,2526319,0,36175,57212,0,0
1579538,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-135885,2532306,0,34057,60763,0,0
1579540,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-132639,2538648,0,31920,64301,0,0
1579542,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-129609,2545343,0,29768,67831,0,0
1579544,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-126794,2552390,0,27604,71353,0,0
1579546,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-124197,2559789,0,25432,74871,0,0
1579548,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-121817,2567540,0,23253,78384,0,0
1579550,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-119655,2575642,0,21069,81894,0,0
1579552,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-117712,2584094,0,18881,85402,0,0
1579554,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-115989,2592897,0,16691,88907,0,0
1579556,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-114484,2602051,0,14498,92412,0,0
1579558,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-113199,2611555,0,12304,95916,0,0
1579560,01a0b1c2-b010-7000-8000-000000000000,01a0d837-d0dd-717c-a115-a4d9c1bbc838,ACTIVE,0,-112133,2621409,0,10109,99419,0,0
