bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0d83b-1a9f-774a-bb65-77f61a824ee9,0,305623,316393,ACCEPTED,,316412,ok,10.789
bot-000,01a0d83b-1c9e-74f7-83d8-39cdd6837cc1,1,816306,866274,ACCEPTED,,866288,ok,49.982
bot-000,01a0d83b-1e9b-71a0-ba7c-165c97bb4736,2,1325480,1366451,ACCEPTED,,1366462,ok,40.982
bot-000,01a0d83b-2093-7760-a029-253454ee228e,3,1829570,1866041,ACCEPTED,,1866055,ok,36.485
bot-000,01a0d83b-2296-76a9-8bb7-994228ab43aa,4,2344943,2366199,ACCEPTED,,2366208,ok,21.265
bot-000,01a0d83b-249c-7772-bdd2-a8bfa9ad5fa5,5,2863044,2866286,ACCEPTED,,2866292,ok,3.248
bot-000,01a0d83b-2693-74fe-83a1-dbfb86651851,6,3366217,3416266,ACCEPTED,,3416269,ok,50.052
bot-000,01a0d83b-2893-73b6-b187-84bf142a3edf,7,3878171,3916285,ACCEPTED,,3916299,ok,38.128
bot-000,01a0d83b-2a89-71e4-8f43-e0f5564b4051,8,4379290,4416633,ACCEPTED,,4416640,ok,37.350
bot-000,01a0d83b-2c87-76cb-aff1-52356f428bf1,9,4890049,4916332,ACCEPTED,,4916336,ok,26.287
bot-000,01a0d83b-2e86-7375-8f35-1011309a4719,10,5400488,5416490,ACCEPTED,,5416500,ok,16.012
bot-000,01a0d83b-3080-742b-b8c8-5b51704e7371,11,5906677,5917035,ACCEPTED,,5917039,ok,10.362
bot-000,01a0d83b-327a-745e-930a-04496b1bb35c,12,6412911,6416764,ACCEPTED,,6416771,ok,3.860
bot-000,01a0d83b-3472-74a3-abda-9b268eda3e25,13,6916257,6966821,ACCEPTED,,6966831,ok,50.574
bot-000,01a0d83b-3666-7476-902d-92dc07774a9d,14,7416487,7466674,ACCEPTED,,7466683,ok,50.196
bot-000,01a0d83b-3862-77c8-9e64-ca4d8d9634f0,15,7924310,7966196,ACCEPTED,,7966201,ok,41.891
bot-000,01a0d83b-3a5b-778a-9fb1-cc01cb751f47,16,8430114,8466289,ACCEPTED,,8466298,ok,36.184
bot-000,01a0d83b-3c51-761c-827a-5733ba28a8d6,17,8931725,8966208,ACCEPTED,,8966221,ok,34.496
bot-000,01a0d83b-3e4b-72e8-b315-e7bd2507468e,18,9437929,9466284,ACCEPTED,,9466288,ok,28.359
bot-000,01a0d83b-4046-7193-9500-5d86aa1679ba,19,9944811,9966492,ACCEPTED,,9966496,ok,21.685
bot-000,01a0d83b-423f-766c-9496-fac81e0c8739,20,10450230,10466419,ACCEPTED,,10466423,ok,16.193
bot-000,01a0d83b-443e-7521-9ce1-b9dcc60e1368,21,10960823,10966473,ACCEPTED,,10966476,ok,5.653
bot-000,01a0d83b-4633-756b-9abf-65b281bc98ae,22,11462100,11466380,ACCEPTED,,11466385,ok,4.285
bot-000,01a0d83b-482c-7107-b119-6cb84bc66673,23,11966385,12016771,ACCEPTED,,12016776,ok,50.391
bot-000,01a0d83b-4a28-7157-938e-cb75fc3a0339,24,12474587,12516996,ACCEPTED,,12517000,ok,42.413
bot-000,01a0d83b-4c1e-7104-a7cc-973f2cd4b2d7,25,12977024,13016366,ACCEPTED,,13016391,ok,39.367
bot-000,01a0d83b-4e1d-706e-9dc7-7373687436f3,26,13487635,13516175,ACCEPTED,,13516180,ok,28.545
bot-000,01a0d83b-5017-72ec-ba29-4c322090c5da,27,13993470,14016435,ACCEPTED,,14016458,ok,22.988
bot-000,01a0d83b-5211-7648-a2a7-c5c7f4ce2e95,28,14499690,14516483,ACCEPTED,,14516504,ok,16.814
bot-000,01a0d83b-540b-71d2-a586-a040ec345f0e,29,15005748,15016655,ACCEPTED,,15016665,ok,10.917
bot-000,01a0d83b-560a-700d-b034-d6814d9fcefd,30,15516562,15566031,ACCEPTED,,15566038,ok,49.476
bot-000,01a0d83b-5810-7255-84cb-ff1ebd5c48da,31,16034924,16066448,ACCEPTED,,16066453,ok,31.529
bot-000,01a0d83b-5a05-761d-9d65-b44b98cdc2d8,32,16536072,16566240,ACCEPTED,,16566251,ok,30.179
bot-000,01a0d83b-5bfb-7042-9b9c-dea3792e7572,33,17037593,17066152,ACCEPTED,,17066160,ok,28.567
bot-000,01a0d83b-5dfa-77c2-bd4b-dbaf23ba913d,34,17548444,17566223,ACCEPTED,,17566236,ok,17.792
bot-000,01a0d83b-5ff0-77a8-9466-498fe8c8af85,35,18050965,18066638,ACCEPTED,,18066651,ok,15.686
bot-000,01a0d83b-61ed-74a8-9c14-46d1afc1f92c,36,18560225,18566200,ACCEPTED,,18566211,ok,5.986
bot-000,01a0d83b-63e8-7557-82e2-8923793853b9,37,19066344,19117141,ACCEPTED,,19117150,ok,50.806
bot-000,01a0d83b-65e2-7623-9781-db7110770f16,38,19573042,19616891,ACCEPTED,,19616896,ok,43.854
bot-000,01a0d83b-67dd-777e-a6dd-ab188074631b,39,20079393,20116331,ACCEPTED,,20116355,ok,36.962
bot-000,01a0d83b-69d7-7498-b8c8-68210a4ed8c3,40,20585392,20616690,ACCEPTED,,20616695,ok,31.303
bot-000,01a0d83b-6bd1-723c-8ec5-2d45f2794d44,41,21091433,21116334,ACCEPTED,,21116339,ok,24.906
bot-000,01a0d83b-6dcc-76df-8e40-2b8545a4d54b,42,21598747,21616655,ACCEPTED,,21616659,ok,17.912
bot-000,01a0d83b-6fd1-7050-8e23-addacd27cfac,43,22115427,22116631,ACCEPTED,,22116636,ok,1.209
