bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0d83f-7e07-7607-95f6-d704492bc1e9,0,331575,349744,ACCEPTED,,349766,ok,18.191
bot-000,01a0d83f-8001-71c7-a6df-a63b18143f05,1,837733,849588,ACCEPTED,,849606,ok,11.873
bot-000,01a0d83f-81fc-770b-bfe2-58bc87a72e0e,2,1343934,1349660,ACCEPTED,,1349674,ok,5.740
bot-000,01a0d83f-83f5-76eb-ad93-a95acca07e60,3,1849692,1899647,ACCEPTED,,1899661,ok,49.969
bot-000,01a0d83f-85f0-7350-baa2-d555b9d28a0b,4,2356184,2399547,ACCEPTED,,2399554,ok,43.370
bot-000,01a0d83f-87ea-7595-ba5f-d77fcafa2c89,5,2862355,2899519,ACCEPTED,,2899525,ok,37.170
bot-000,01a0d83f-89e4-7553-92ad-4ce30dc12988,6,3368388,3399948,ACCEPTED,,3399961,ok,31.573
bot-000,01a0d83f-8bdb-7779-af65-afcd2d7f68ab,7,3871148,3899707,ACCEPTED,,3899721,ok,28.573
bot-000,01a0d83f-8dd9-76d4-abc0-44f9c73da05b,8,4381014,4399981,ACCEPTED,,4399997,ok,18.983
bot-000,01a0d83f-8fd3-724c-960b-8e635806a824,9,4886956,4900085,ACCEPTED,,4900093,ok,13.137
bot-000,01a0d83f-91cd-74c9-9581-2a6be87e18e9,10,5393194,5399936,ACCEPTED,,5399952,ok,6.758
bot-000,01a0d83f-93c7-72cb-9754-a7bea072ddd9,11,5899383,5899706,ACCEPTED,,5899715,ok,0.332
bot-000,01a0d83f-95c1-7653-b94f-92e357249a2a,12,6405604,6449649,ACCEPTED,,6449665,ok,44.061
bot-000,01a0d83f-97bb-751d-b257-0321646bc6c4,13,6911665,6949876,ACCEPTED,,6949888,ok,38.223
bot-000,01a0d83f-99b6-77f1-a720-4f7cf4d9b3cb,14,7417845,7449574,ACCEPTED,,7449589,ok,31.744
bot-000,01a0d83f-9bb0-7534-903d-19911be335ec,15,7924115,7949912,ACCEPTED,,7949924,ok,25.809
bot-000,01a0d83f-9daa-7533-ac62-a854a7ef41dc,16,8430152,8449877,ACCEPTED,,8449892,ok,19.740
bot-000,01a0d83f-9fa4-7760-a3ec-0eee73b6706e,17,8936193,8949843,ACCEPTED,,8949851,ok,13.658
bot-000,01a0d83f-a19e-741f-8e20-b28fcc127e7a,18,9442667,9449576,ACCEPTED,,9449584,ok,6.917
bot-000,01a0d83f-a399-7621-80f8-59fdc3e4346e,19,9949691,9999795,ACCEPTED,,9999817,ok,50.126
bot-000,01a0d83f-a593-7448-affe-91b1bb0486ad,20,10454951,10499565,ACCEPTED,,10499584,ok,44.633
bot-000,01a0d83f-a790-7167-a634-f7de521b0f58,21,10964720,10999907,ACCEPTED,,10999925,ok,35.205
bot-000,01a0d83f-a987-7096-b660-988fd930f378,22,11467114,11499639,ACCEPTED,,11499657,ok,32.543
bot-000,01a0d83f-ab81-738e-91c4-6777f9933bde,23,11973423,11999850,ACCEPTED,,11999868,ok,26.445
bot-000,01a0d83f-ad7b-7798-820b-2ef496c53a52,24,12479725,12499745,ACCEPTED,,12499762,ok,20.037
bot-000,01a0d83f-af75-7198-88d5-220fb41a3268,25,12985761,13000230,ACCEPTED,,13000239,ok,14.478
bot-000,01a0d83f-b170-73d7-a4c5-94a55ea9095c,26,13491954,13499906,ACCEPTED,,13499922,ok,7.968
bot-000,01a0d83f-b36a-7164-b9d2-e666ab462659,27,13997889,13999729,ACCEPTED,,13999737,ok,1.848
bot-000,01a0d83f-b560-75a2-a951-5bbb8ae430fd,28,14499922,14549777,ACCEPTED,,14549795,ok,49.873
bot-000,01a0d83f-b754-75a1-9745-ab8ae2ddec34,29,15000173,15049957,ACCEPTED,,15049969,ok,49.796
bot-000,01a0d83f-b94c-7263-9515-f9ea372f9400,30,15504795,15550078,ACCEPTED,,15550090,ok,45.295
bot-000,01a0d83f-bb47-76c6-a799-a2d99ece3802,31,16010843,16049944,ACCEPTED,,16049954,ok,39.111
bot-000,01a0d83f-bd41-77d3-b31f-a596505113f4,32,16517051,16549965,ACCEPTED,,16549983,ok,32.932
bot-000,01a0d83f-bf3b-703c-ada2-07c3cd45b350,33,17023148,17049887,ACCEPTED,,17049903,ok,26.755
bot-000,01a0d83f-c135-743a-b83d-d124e26dfbab,34,17529430,17549516,ACCEPTED,,17549533,ok,20.103
bot-000,01a0d83f-c32f-710d-ad0a-05faa5358439,35,18035461,18049704,ACCEPTED,,18049713,ok,14.252
bot-000,01a0d83f-c529-76c6-9942-6e1b5481fea1,36,18541746,18549611,ACCEPTED,,18549616,ok,7.870
bot-000,01a0d83f-c723-7642-b5b7-1887438a2432,37,19047809,19050060,ACCEPTED,,19050074,ok,2.265
bot-000,01a0d83f-c919-7599-9a0d-2c3ca2787e40,38,19549811,19599691,ACCEPTED,,19599708,ok,49.897
bot-000,01a0d83f-cb18-746d-a98a-bbf5305061dd,39,20060234,20099756,ACCEPTED,,20099771,ok,39.537
bot-000,01a0d83f-cd12-711b-99f9-9197b011496f,40,20566406,20599618,ACCEPTED,,20599632,ok,33.226
bot-000,01a0d83f-cf18-7255-853e-4e7fbddf6317,41,21084051,21099553,ACCEPTED,,21099563,ok,15.512
bot-000,01a0d83f-d112-70df-8aab-f3c48dddeaff,42,21590229,21599702,ACCEPTED,,21599713,ok,9.484
bot-000,01a0d83f-d30c-7754-a8d0-08b36e1767ed,43,22096489,22099944,ACCEPTED,,22099953,ok,3.464
bot-000,01a0d83f-d504-7676-a09b-9a78ce71fae2,44,22599965,22649862,ACCEPTED,,22649874,ok,49.909
bot-000,01a0d83f-d701-71ae-b89a-087c158aae1b,45,23109038,23149684,ACCEPTED,,23149700,ok,40.662
bot-000,01a0d83f-d907-7048-ae69-7099edcce3b1,46,23626907,23650011,ACCEPTED,,23650026,ok,23.119
bot-000,01a0d83f-db01-74cb-821f-7577886555ee,47,24133144,24149967,ACCEPTED,,24149985,ok,16.841
bot-000,01a0d83f-dcfb-71fb-9979-e4b7686ab6e5,48,24639211,24649796,ACCEPTED,,24649803,ok,10.592
bot-000,01a0d83f-def5-7233-be32-e9525d7c6aea,49,25145319,25149710,ACCEPTED,,25149718,ok,4.399
bot-000,01a0d83f-e0ed-75f7-a401-cb36aa1023f0,50,25649792,25699818,ACCEPTED,,25699834,ok,50.042
bot-000,01a0d83f-e2e2-708b-841c-55bc48983fbc,51,26150074,26199752,ACCEPTED,,26199770,ok,49.696
bot-000,01a0d83f-e4d8-76a2-947a-bee8d709dce2,52,26652095,26699673,ACCEPTED,,26699688,ok,47.593
bot-000,01a0d83f-e6d2-77b4-8e4e-6c5650fe4231,53,27158189,27199645,ACCEPTED,,27199656,ok,41.467
bot-000,01a0d83f-e8cc-76d4-a61c-c4cf2a01f355,54,27664382,27699672,ACCEPTED,,27699690,ok,35.308
bot-000,01a0d83f-eac6-74d7-97a1-c5a277d8d306,55,28170620,28199844,ACCEPTED,,28199861,ok,29.241
bot-000,01a0d83f-ecc0-7213-98cc-336fd09284f4,56,28676762,28699677,ACCEPTED,,28699691,ok,22.929
bot-000,01a0d83f-eeba-7730-bad9-27a70bc9898c,57,29182731,29199824,ACCEPTED,,29199841,ok,17.110
bot-000,01a0d83f-f0b5-76cf-9114-6b38ded0a05f,58,29689205,29700018,ACCEPTED,,29700035,ok,10.830
bot-000,01a0d83f-f2af-767c-9c89-816bf139d021,59,30195164,30199957,ACCEPTED,,30199966,ok,4.802
bot-000,01a0d83f-f4a8-74ae-92b3-e985e1effab7,60,30699861,30749857,ACCEPTED,,30749872,ok,50.011
bot-000,01a0d83f-f6a8-7564-a93c-4eb257c95c40,61,31211993,31249980,ACCEPTED,,31249993,ok,38.000
bot-000,01a0d83f-f89e-7701-b02d-c4ebb10c99c5,62,31713861,31749763,ACCEPTED,,31749777,ok,35.916
bot-000,01a0d83f-fa97-711b-ae6b-2a35753e8f10,63,32219823,32249670,ACCEPTED,,32249682,ok,29.859
bot-000,01a0d83f-fc92-7411-8187-fce2f4f8c443,64,32726029,32749696,ACCEPTED,,32749706,ok,23.677
bot-000,01a0d83f-fe8c-731b-8da0-7e73be25fad1,65,33232008,33249696,ACCEPTED,,33249705,ok,17.697
bot-000,01a0d840-0086-74cb-90df-c498fbf0acaf,66,33738411,33749820,ACCEPTED,,33749839,ok,11.428
bot-000,01a0d840-0280-779d-9c10-e58c4cc4a0ba,67,34244498,34250216,ACCEPTED,,34250226,ok,5.728
bot-000,01a0d840-047a-77ec-a832-94623d5d433c,68,34749871,34799674,ACCEPTED,,34799688,ok,49.817
bot-000,01a0d840-066e-71fb-bb29-96fefeae6328,69,35250148,35299590,ACCEPTED,,35299608,ok,49.460
bot-000,01a0d840-086f-7704-b6e2-a7b742bb560b,70,35762970,35799682,ACCEPTED,,35799699,ok,36.729
bot-000,01a0d840-0a69-712c-95ec-226afed3f234,71,36269099,36299802,ACCEPTED,,36299822,ok,30.723
bot-000,01a0d840-0c63-70d3-8c81-e3c5ea7a5145,72,36775319,36799830,ACCEPTED,,36799840,ok,24.521
bot-000,01a0d840-0e5d-70c5-a67f-d0a25c9f89b5,73,37281488,37299930,ACCEPTED,,37299943,ok,18.455
bot-000,01a0d840-1057-76a6-80d7-ba900374f9af,74,37787694,37799869,ACCEPTED,,37799882,ok,12.188
bot-000,01a0d840-1252-725f-80de-3c8e51769772,75,38293899,38299933,ACCEPTED,,38299953,ok,6.054
bot-000,01a0d840-144b-76c0-8480-a9b772181eb4,76,38799697,38850050,ACCEPTED,,38850066,ok,50.369
bot-000,01a0d840-1646-727a-8574-7791f0666bfc,77,39306065,39349871,ACCEPTED,,39349885,ok,43.820
bot-000,01a0d840-1843-7222-92a7-d4654d2a7d5f,78,39815723,39849930,ACCEPTED,,39849944,ok,34.221
bot-000,01a0d840-1a3a-749d-8374-42d2041d4211,79,40318596,40349722,ACCEPTED,,40349731,ok,31.135
bot-000,01a0d840-1c3b-7559-8132-3b2193de9532,80,40831402,40849525,ACCEPTED,,40849541,ok,18.139
