bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0d920-b663-7048-ae28-9db368036126,1,331540,340840,ACCEPTED,,,ok,
bot-000,01a0d920-b69f-72b3-8a18-0fb32d5922d0,2,391382,441243,ACCEPTED,,,ok,
bot-000,01a0d920-b6df-76be-913e-cd9576f43dba,3,455322,490989,ACCEPTED,,,ok,
bot-000,01a0d920-b720-73d1-a150-f1f39b614ff7,4,521084,541050,ACCEPTED,,,ok,
bot-000,01a0d920-b75c-711d-a8f9-d063013613be,5,580446,591228,ACCEPTED,,,ok,
bot-000,01a0d920-b798-73a8-a02d-a7fca7143dc8,6,640673,641290,ACCEPTED,,,ok,
bot-000,01a0d920-b7cb-70c2-b2af-ae36bf325b81,7,691228,740927,ACCEPTED,,,ok,
bot-000,01a0d920-b802-72c0-9710-5dfe3fdf3ae0,8,746539,790921,ACCEPTED,,,ok,
bot-000,01a0d920-b840-739e-83be-5c62e9479f18,9,808144,841194,ACCEPTED,,,ok,
bot-000,01a0d920-b881-7217-82e4-4cf144e7e646,10,873910,890958,ACCEPTED,,,ok,
bot-000,01a0d920-b8bc-7486-8f27-29ce6c9756c0,11,932482,941049,ACCEPTED,,,ok,
bot-000,01a0d920-b8f6-7457-9861-09399f3299b7,12,990990,1041058,ACCEPTED,,,ok,
bot-000,01a0d920-b92f-70ed-837a-39b2e3666d96,13,1047150,1091045,ACCEPTED,,,ok,
bot-000,01a0d920-b96a-74f0-93bc-564b05f8e53c,14,1106849,1141271,ACCEPTED,,,ok,
bot-000,01a0d920-b9a6-7352-bbcd-adad44e910d8,15,1166889,1190910,ACCEPTED,,,ok,
bot-000,01a0d920-b9e2-769d-87e6-022b040fa2fc,16,1226598,1240837,ACCEPTED,,,ok,
bot-000,01a0d920-ba18-737d-b2ab-5c8e44661a49,17,1280638,1291193,ACCEPTED,,,ok,
bot-000,01a0d920-ba54-76bf-97af-a976536debe9,18,1341002,1391094,ACCEPTED,,,ok,
bot-000,01a0d920-ba91-75fc-9804-23b221923b6c,19,1401859,1441303,ACCEPTED,,,ok,
