bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0c46d-d1e5-7093-9a69-63edf985646a,0,54116,103804,ACCEPTED,,103858,ok,49.742
bot-000,01a0c46d-d7f3-7770-8ae3-3e64627a506c,0,1604229,1653886,ACCEPTED,,1653943,ok,49.714
bot-000,01a0c46d-de01-700e-b7ac-62eaac96fdc4,0,3153725,3203735,ACCEPTED,,3203790,ok,50.065
bot-000,01a0c46d-e441-77a3-9bfc-67a8ca7dcd31,0,4754133,4804131,ACCEPTED,,4804188,ok,50.055
bot-000,01a0c46d-ea81-7594-a331-4212c8723450,0,6353938,6403910,ACCEPTED,,6403977,ok,50.039
bot-001,01a0c46d-d6c7-7081-963a-4163d7cad469,0,1304174,1353743,ACCEPTED,,1353817,ok,49.643
bot-001,01a0c46d-dcd5-71fc-a0d7-ce10f8aa391b,0,2854437,2904069,ACCEPTED,,2904122,ok,49.685
bot-001,01a0c46d-e315-7653-abcd-78aaef26957f,0,4454117,4503811,ACCEPTED,,4503859,ok,49.742
bot-001,01a0c46d-e955-7156-8ae6-a90c874fc56c,0,6053873,6103801,ACCEPTED,,6103849,ok,49.976
bot-001,01a0c46d-ef63-747a-8088-138f71a503d9,0,7604011,7653914,ACCEPTED,,7653979,ok,49.968
bot-002,01a0c46d-dba9-7100-a378-a6d28a701d21,0,2554631,2604037,ACCEPTED,,2604091,ok,49.460
bot-002,01a0c46d-e1e9-715a-9b67-f055d04c7a64,0,4154155,4203978,ACCEPTED,,4204045,ok,49.890
bot-002,01a0c46d-e7f7-7072-a15a-2c20a5a1ad32,0,5704112,5753963,ACCEPTED,,5754016,ok,49.904
bot-002,01a0c46d-ee37-7303-8bb9-7b770dbcd1e7,0,7304234,7354058,ACCEPTED,,7354127,ok,49.893
bot-002,01a0c46d-f477-7747-baeb-c37d6dd8ae44,0,8904147,8953956,ACCEPTED,,8954009,ok,49.862
bot-003,01a0c46d-e08b-77a9-ae8b-701ff3403f9e,0,3804195,3853762,ACCEPTED,,3853856,ok,49.661
bot-003,01a0c46d-e699-763c-9393-fd05e69f8640,0,5354040,5403693,ACCEPTED,,5403741,ok,49.701
bot-003,01a0c46d-ecd9-7460-97c2-ef8995c8129c,0,6953836,7003691,ACCEPTED,,7003749,ok,49.913
bot-003,01a0c46d-f2e7-76df-ae66-4cca2f861629,0,8504064,8553960,ACCEPTED,,8554020,ok,49.956
bot-003,01a0c46d-f8f5-72fe-b6bd-b5607089d1ee,0,10054040,10103912,ACCEPTED,,10103962,ok,49.922
