tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
396274,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396276,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396278,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396280,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396282,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396284,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396286,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396288,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396290,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396292,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396294,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396296,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396298,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396300,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396300,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396302,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396302,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396304,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396304,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396306,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396306,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396308,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396308,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396310,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396310,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396312,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396312,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396314,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396314,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396316,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396316,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396318,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396318,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396320,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396320,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396322,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396322,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396324,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396324,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396324,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-dba9-756d-a311-2a6b3e5a72ee,ACTIVE,-2165064,-250000,-1250000,0,0,0
396326,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396326,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396326,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-dba9-756d-a311-2a6b3e5a72ee,ACTIVE,-2165064,-250000,-1250000,0,0,0
396328,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d1e5-71e8-a629-d66faf7adeaf,ACTIVE,0,-250000,2500000,0,0,0
396328,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-d6c7-7050-bd8e-1e6a8a2cc77c,ACTIVE,2500000,250000,0,0,0,0
396328,01a0b1c2-b010-7000-8000-000000000000,01a0c46d-dba9-756d-a311-2a6b3e5a72ee,ACTIVE,-2165064,-250000,-1250000,0,0,0
