t_s,avail_bytes
0.0,0
0.109,3234
0.218,3234
0.328,3234
0.437,3234
0.531,3234
0.64,4486
0.75,4486
0.859,4486
0.968,4486
1.078,4486
1.187,4486
1.281,4486
1.39,4486
1.5,4486
1.609,4486
1.718,4486
1.828,4486
1.937,4486
2.047,4486
2.14,4486
2.25,4486
2.359,4486
2.468,4486
2.578,4486
2.687,4486
2.797,4486
2.89,4486
3.0,4486
3.109,4486
3.218,4486
3.328,4486
3.437,4486
3.547,4486
3.64,4486
3.75,4486
3.859,4486
3.968,4486
4.078,4486
4.187,4486
4.281,4486
4.39,4486
4.5,4486
4.609,4486
4.718,4486
4.828,4486
4.922,4486
5.031,4486
5.14,4486
5.25,4486
5.359,4486
5.468,4486
5.578,4486
5.672,4486
5.781,4486
5.89,4486
6.0,4486
6.109,4486
6.218,4486
6.328,4486
6.422,4486
6.531,4486
6.64,4486
6.75,4486
6.859,4486
6.968,4486
7.078,4486
7.172,4486
7.281,4486
7.39,4486
7.5,4486
7.609,4486
7.718,4486
7.812,4486
7.922,4486
8.031,4486
8.14,4486
8.25,4486
8.359,4486
8.468,4486
8.562,4486
8.672,4486
8.781,4486
8.89,4486
9.0,4486
9.109,4486
9.203,4486
9.312,4486
9.422,4486
9.531,4486
9.64,4486
9.75,4486
9.859,4486
9.968,4486
10.078,4486
10.172,4486
10.281,4486
10.39,4486
10.5,4486
10.609,4486
10.718,4486
10.828,4486
10.922,4486
11.031,4486
11.14,4486
11.25,4486
11.359,4486
11.453,4486
11.562,4486
11.672,4486
11.781,4486
11.89,4486
12.0,4486
12.109,4486
12.203,4486
12.312,4486
12.422,4486
12.531,4486
12.64,4486
12.75,4486
12.843,4486
12.953,4486
13.062,4486
13.172,4486
13.281,4486
13.39,4486
13.484,4486
13.593,4486
13.703,4486
13.812,4486
13.922,4486
14.031,4486
14.14,4486
14.234,4486
14.343,4486
14.453,4486
14.562,4486
14.672,4486
14.781,4486
14.89,4486
14.984,4486
15.093,4486
15.203,4486
15.312,4486
15.422,4486
15.531,4486
15.64,4486
15.734,4486
15.843,4486
15.953,4486
16.062,4486
16.172,4486
16.281,4486
16.375,4486
16.484,4486
16.593,4486
16.703,4486
16.812,4486
16.906,4486
17.015,4486
17.125,4486
17.234,4486
17.343,4486
17.453,4486
17.562,4486
17.656,4486
17.765,4486
17.906,0
18.906,0
19.906,0
20.906,0
21.906,0
22.906,0
23.906,0
24.906,0
25.906,0
26.906,0
27.906,0
28.906,0
29.906,0
30.906,0
31.906,0
32.906,0
