tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
396932,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396934,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396936,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396938,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396940,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396942,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396942,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396944,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396944,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396946,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396946,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396948,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396948,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396950,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396950,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396952,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396952,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396952,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b276-702b-bf49-340497d6f482,ACTIVE,-2165064,-250000,-1250000,0,0,0
396954,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396954,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396954,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b276-702b-bf49-340497d6f482,ACTIVE,-2165064,-250000,-1250000,0,0,0
396956,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396956,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396956,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b276-702b-bf49-340497d6f482,ACTIVE,-2165064,-250000,-1250000,0,0,0
396958,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396958,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396958,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b276-702b-bf49-340497d6f482,ACTIVE,-2165064,-250000,-1250000,0,0,0
396960,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396960,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
396960,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b276-702b-bf49-340497d6f482,ACTIVE,-2165064,-250000,-1250000,0,0,0
396962,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-ae5c-7214-9873-e0ff4d375025,ACTIVE,0,-250000,2500000,0,0,0
396962,01a0b1c2-b010-7000-8000-000000000000,01a0c46e-b050-771f-9ebf-e3becb919688,ACTIVE,2500000,250000,0,0,0,0
