bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0c470-98ab-77a3-89df-3c476775d334,0,26899,76422,ACCEPTED,,76474,ok,49.575
bot-000,01a0c470-9eea-768e-9e09-4fdef7d7bf11,0,1626637,1676395,ACCEPTED,,1676441,ok,49.804
bot-000,01a0c470-a52b-756d-98bc-fcd0d3079301,0,3226838,3276875,ACCEPTED,,3276924,ok,50.086
bot-000,01a0c470-ab6b-766a-b2f5-01ae9ba492dc,0,4827036,4876431,ACCEPTED,,4876485,ok,49.449
bot-000,01a0c470-b178-7148-8bce-74fb8eeea7d0,0,6376617,6426653,ACCEPTED,,6426713,ok,50.096
bot-000,01a0c470-b7b9-762c-a53c-7b912e5263d9,0,7976862,8026697,ACCEPTED,,8026755,ok,49.893
bot-000,01a0c470-bdf9-72bb-9f4d-6b9ab2443b89,0,9576844,9626878,ACCEPTED,,9626937,ok,50.093
bot-000,01a0c470-c407-763a-8efc-f4f27e958d55,0,11127643,11176581,ACCEPTED,,11176648,ok,49.005
bot-000,01a0c470-ca46-71e3-9ead-e8a59f02cd31,0,12726696,12776660,ACCEPTED,,12776721,ok,50.025
bot-000,01a0c470-d055-7640-a022-f68d8691d043,0,14276781,14326606,ACCEPTED,,14326663,ok,49.882
bot-000,01a0c470-d663-70bb-b014-e4eb54447109,0,15827162,15876792,ACCEPTED,,15876839,ok,49.677
bot-000,01a0c470-dc70-7522-89c0-7439c1ef8d2a,0,17376437,17426980,ACCEPTED,,17427043,ok,50.606
bot-000,01a0c470-e27e-7285-bf87-635925f9380c,0,18926696,18976526,ACCEPTED,,18976586,ok,49.890
bot-000,01a0c470-e8be-72e8-af26-71a9f6c9b77a,0,20526582,20576860,ACCEPTED,,20576909,ok,50.327
bot-000,01a0c470-eeff-760f-8be1-43cac819ef18,0,22126906,22176814,ACCEPTED,,22176863,ok,49.957
bot-000,01a0c470-f50c-71ab-95d5-6e6ac5b3d4c2,0,23676469,23726908,ACCEPTED,,23726971,ok,50.502
bot-000,01a0c470-fb4d-7429-b89d-5ea638e389bf,0,25276878,25326649,ACCEPTED,,25326705,ok,49.827
bot-000,01a0c471-018d-75b2-8bf2-849b5cd4f7d2,0,26876788,26926677,ACCEPTED,,26926741,ok,49.953
bot-000,01a0c471-07cc-70cd-bcb2-3c5a2baea7ab,0,28476653,28526929,ACCEPTED,,28527470,ok,50.817
bot-000,01a0c471-0e0d-7332-8466-3327ad768e66,0,30076971,30126790,ACCEPTED,,30126855,ok,49.884
bot-000,01a0c471-141b-77fa-a404-a626e5667a32,0,31626842,31677038,ACCEPTED,,31677093,ok,50.251
bot-000,01a0c471-1a5b-702c-9e81-000998f47cc8,0,33227219,33276597,ACCEPTED,,33276644,ok,49.425
bot-000,01a0c471-209b-7797-a3ae-0f35b0c227e4,0,34826771,34876835,ACCEPTED,,34876894,ok,50.123
bot-000,01a0c471-26a8-7535-86d4-0ab82aa7fda3,0,36376400,36426684,ACCEPTED,,36427428,ok,51.028
bot-000,01a0c471-2ce8-7450-9040-d694825e22ca,0,37976722,38026679,ACCEPTED,,38026739,ok,50.017
bot-000,01a0c471-32f7-7218-b0ab-5402dacd4f83,0,39527142,39576624,ACCEPTED,,39576672,ok,49.530
bot-000,01a0c471-3905-761e-8e35-39e2570e54bd,0,41077519,41126612,ACCEPTED,,41126677,ok,49.158
bot-000,01a0c471-3f45-773f-af62-4f4826cf92e5,0,42676977,42726540,ACCEPTED,,42726603,ok,49.626
bot-000,01a0c471-4585-715f-9ec9-252b5bc44f4b,0,44276847,44326480,ACCEPTED,,44326539,ok,49.692
bot-000,01a0c471-4b93-7555-9341-3e923e3db5ef,0,45827693,45876516,ACCEPTED,,45876569,ok,48.876
bot-000,01a0c471-51d2-70eb-8edb-8b90fd28ef16,0,47426638,47476854,ACCEPTED,,47476918,ok,50.280
bot-000,01a0c471-5813-77fc-a532-20ae42ea7ace,0,49026975,49076685,ACCEPTED,,49076750,ok,49.775
bot-000,01a0c471-5e53-7779-9c83-f6c39df88873,0,50627159,50676772,ACCEPTED,,50676831,ok,49.672
bot-000,01a0c471-6493-7600-a5af-5ba03cac4ea9,0,52226814,52276753,ACCEPTED,,52276802,ok,49.988
bot-000,01a0c471-6aa0-73ee-a63a-afe3d20bdb78,0,53776543,53826620,ACCEPTED,,53826687,ok,50.144
bot-000,01a0c471-70e0-7017-8923-fc300d01255e,0,55376596,55426832,ACCEPTED,,55426888,ok,50.292
bot-000,01a0c471-7720-758e-a3c4-97a3a42c71c2,0,56976575,57026625,ACCEPTED,,57026689,ok,50.114
bot-000,01a0c471-7d61-757f-8413-7b557ff01bdc,0,58577026,58626656,ACCEPTED,,58626732,ok,49.706
