t_s,avail_bytes
0.0,0
0.11,3234
0.219,3234
0.329,3234
0.438,3234
0.547,3234
0.641,4486
0.75,4486
0.86,4486
0.969,4486
1.079,4486
1.188,4486
1.282,4486
1.391,4486
1.5,4486
1.61,4486
1.719,4486
1.829,4486
1.938,4486
2.032,4486
2.141,4486
2.25,4486
2.36,4486
2.469,4486
2.579,4486
2.688,4486
2.782,4486
2.891,4486
3.0,4486
3.11,4486
3.219,4486
3.329,4486
3.438,4486
3.532,4486
3.641,4486
3.75,4486
3.86,4486
3.969,4486
4.079,4486
4.172,4486
4.282,4486
4.391,4486
4.5,4486
4.61,4486
4.719,4486
4.813,4486
4.922,4486
5.032,4486
5.141,4486
5.25,4486
5.344,4486
5.454,4486
5.563,4486
5.672,4486
5.766,4486
5.875,4486
5.985,4486
6.094,4486
6.204,4486
6.313,4486
6.407,4486
6.516,4486
6.625,4486
6.735,4486
6.844,4486
6.938,4486
7.047,4486
7.157,4486
7.266,4486
7.375,4486
7.485,4486
7.579,4486
7.688,4486
7.797,4486
7.907,4486
8.016,4486
8.125,4486
8.219,4486
8.329,4486
8.438,4486
8.547,4486
8.657,4486
8.766,4486
8.86,4486
8.969,4486
9.079,4486
9.188,4486
9.297,4486
9.407,4486
9.5,4486
9.61,4486
9.719,4486
9.829,4486
9.938,4486
10.047,4486
10.157,4486
10.25,4486
10.36,4486
10.469,4486
10.579,4486
10.688,4486
10.782,4486
10.891,4486
11.0,4486
11.11,4486
11.219,4486
11.313,4486
11.422,4486
11.532,4486
11.641,4486
11.75,4486
11.844,4486
11.954,4486
12.063,4486
12.172,4486
12.282,4486
12.391,4486
12.5,4486
12.61,4486
12.704,4486
12.813,4486
12.922,4486
13.032,4486
13.141,4486
13.25,4486
13.344,4486
13.454,4486
13.563,4486
13.672,4486
13.782,4486
13.875,4486
13.985,4486
14.094,4486
14.204,4486
14.313,4486
14.407,4486
14.516,4486
14.625,4486
14.735,4486
14.844,4486
14.954,4486
15.047,4486
15.157,4486
15.266,4486
15.375,4486
15.485,4486
15.579,4486
15.688,4486
15.797,4486
15.907,4486
16.0,4486
16.11,4486
16.219,4486
16.329,4486
16.438,4486
16.547,4486
16.657,4486
16.75,4486
16.86,4486
16.969,4486
17.079,4486
17.188,4486
17.297,4486
17.407,4486
17.5,4486
17.61,4486
17.719,4486
17.829,4486
17.938,4486
18.032,4486
18.141,4486
18.25,4486
18.36,4486
18.469,4486
18.563,4486
18.672,4486
18.782,4486
18.891,4486
19.0,4486
19.11,4486
19.204,4486
19.313,4486
19.422,4486
19.532,4486
19.641,4486
19.735,4486
19.844,4486
19.954,4486
20.063,4486
20.172,4486
20.266,4486
20.375,4486
20.485,4486
20.594,4486
20.704,4486
20.813,4486
20.922,4486
21.016,4486
21.125,4486
21.235,4486
21.344,4486
21.454,4486
21.547,4486
21.657,4486
21.766,4486
21.875,4486
21.985,4486
22.094,4486
22.188,4486
22.297,4486
22.407,4486
22.516,4486
22.625,4486
22.719,4486
22.829,4486
22.938,4486
23.047,4486
23.157,4486
23.266,4486
23.375,4486
23.469,4486
23.579,4486
23.688,4486
23.797,4486
23.891,4486
24.0,4486
24.11,4486
24.219,4486
24.329,4486
24.422,4486
24.532,4486
24.641,4486
24.75,4486
24.86,4486
24.969,4486
25.063,4486
25.172,4486
25.282,4486
25.391,4486
25.5,4486
25.61,4486
25.719,4486
25.813,4486
25.922,4486
26.032,4486
26.141,4486
26.25,4486
26.344,4486
26.454,4486
26.563,4486
26.672,4486
26.782,4486
26.891,4486
26.985,4486
27.094,4486
27.204,4486
27.313,4486
27.422,4486
27.516,4486
27.625,4486
27.735,4486
27.844,4486
27.954,4486
28.063,4486
28.157,4486
28.266,4486
28.375,4486
28.485,4486
28.594,4486
28.704,4486
28.797,4486
28.907,4486
29.016,4486
29.125,4486
29.235,4486
29.329,4486
29.438,4486
29.547,4486
29.657,4486
29.766,4486
29.875,4486
29.969,4486
30.079,4486
30.188,4486
30.297,4486
30.407,4486
30.516,4486
30.61,4486
30.719,4486
30.829,4486
30.938,4486
31.047,4486
31.157,4486
31.25,4486
31.36,4486
31.469,4486
31.579,4486
31.688,4486
31.782,4486
31.891,4486
32.0,4486
32.11,4486
32.219,4486
32.313,4486
32.422,4486
32.532,4486
32.641,4486
32.75,4486
32.86,4486
32.969,4486
33.063,4486
33.172,4486
33.282,4486
33.391,4486
33.5,4486
33.594,4486
33.704,4486
33.813,4486
33.922,4486
34.032,4486
34.141,4486
34.235,4486
34.344,4486
34.454,4486
34.563,4486
34.672,4486
34.782,4486
34.891,4486
34.985,4486
35.094,4486
35.204,4486
35.313,4486
35.422,4486
35.516,4486
35.625,4486
35.735,4486
35.844,4486
35.954,4486
36.047,4486
36.157,4486
36.266,4486
36.375,4486
36.469,4486
36.579,4486
36.688,4486
36.797,4486
36.907,4486
37.016,4486
37.125,4486
37.219,4486
37.329,4486
37.438,4486
37.547,4486
37.657,4486
37.75,4486
37.86,4486
37.969,4486
38.079,4486
38.188,4486
38.297,4486
38.391,4486
38.5,4486
38.61,4486
38.719,4486
38.829,4486
38.922,4486
39.032,4486
39.141,4486
39.25,4486
39.36,4486
39.454,4486
39.563,4486
39.672,4486
39.782,4486
39.891,4486
39.985,4486
40.094,4486
40.204,4486
40.313,4486
40.422,4486
40.516,4486
40.625,4486
40.735,4486
40.844,4486
40.954,4486
41.047,4486
41.157,4486
41.266,4486
41.375,4486
41.485,4486
41.594,4486
41.688,4486
41.797,4486
41.907,4486
42.016,4486
42.125,4486
42.219,4486
42.329,4486
42.438,4486
42.547,4486
42.657,4486
42.75,4486
42.86,4486
42.969,4486
43.079,4486
43.188,4486
43.282,4486
43.391,4486
43.5,4486
43.61,4486
43.719,4486
43.829,4486
43.938,4486
44.032,4486
44.141,4486
44.25,4486
44.36,4486
44.469,4486
44.563,4486
44.672,4486
44.782,4486
44.891,4486
45.0,4486
45.11,4486
45.204,4486
45.313,4486
45.422,4486
45.532,4486
45.641,4486
45.75,4486
45.844,4486
45.954,4486
46.063,4486
46.172,4486
46.282,4486
46.375,4486
46.485,4486
46.594,4486
46.704,4486
46.813,4486
46.907,4486
47.016,4486
47.125,4486
47.235,4486
47.344,4486
47.454,4486
47.563,4486
47.657,4486
47.766,4486
47.875,4486
47.985,4486
48.094,4486
48.188,4486
48.297,4486
48.407,4486
48.516,4486
48.625,4486
48.735,4486
48.844,4486
48.938,4486
49.047,4486
49.157,4486
49.266,4486
49.375,4486
49.469,4486
49.579,4486
49.688,4486
49.797,4486
49.907,4486
50.016,4486
50.11,4486
50.219,4486
50.329,4486
50.438,4486
50.547,4486
50.657,4486
50.75,4486
50.86,4486
50.969,4486
51.079,4486
51.188,4486
51.297,4486
51.391,4486
51.5,4486
51.61,4486
51.719,4486
51.829,4486
51.938,4486
52.032,4486
52.141,4486
52.25,4486
52.36,4486
52.469,4486
52.563,4486
52.672,4486
52.782,4486
52.891,4486
53.0,4486
53.094,4486
53.204,4486
53.313,4486
53.422,4486
53.532,4486
53.625,4486
53.735,4486
53.844,4486
53.954,4486
54.063,4486
54.172,4486
54.266,4486
54.375,4486
54.485,4486
54.594,4486
54.704,4486
54.797,4486
54.907,4486
55.016,4486
55.125,4486
55.235,4486
55.329,4486
55.438,4486
55.547,4486
55.657,4486
55.766,4486
55.875,4486
55.985,4486
56.079,4486
56.188,4486
56.297,4486
56.407,4486
56.516,4486
56.625,4486
56.719,4486
56.829,4486
56.938,4486
57.047,4486
57.157,4486
57.266,4486
57.36,4486
57.469,4486
57.579,4486
57.688,4486
57.797,4486
57.907,4486
58.016,4486
58.11,4486
58.219,4486
58.329,4486
58.438,4486
58.547,4486
58.657,4486
58.75,4486
58.86,4486
58.969,4486
59.079,4486
59.188,4486
59.282,4486
59.391,4486
59.5,4486
59.61,4486
59.719,4486
59.829,4486
59.922,4486
60.032,4486
60.141,4486
60.25,4486
60.344,4486
60.454,4486
60.563,4486
60.672,4486
60.782,4486
60.875,4486
60.985,4486
61.094,4486
61.204,4486
61.313,4486
61.422,4486
61.516,4486
61.625,4486
61.735,4486
61.844,4486
61.954,4486
62.063,4486
62.157,4486
62.266,4486
62.375,4486
62.485,4486
62.594,4486
62.704,4486
62.813,4486
62.907,4486
63.016,4486
63.125,4486
63.235,4486
63.344,4486
63.454,4486
63.547,4486
63.657,4486
63.766,4486
63.875,4486
63.985,4486
64.079,4486
64.188,4486
64.297,4486
64.407,4486
64.516,4486
64.61,4486
64.719,4486
64.829,4486
64.938,4486
65.047,4486
65.141,4486
65.25,4486
65.36,4486
65.469,4486
65.579,4486
65.688,4486
65.797,4486
65.891,4486
66.0,4486
66.11,4486
66.219,4486
66.329,4486
66.422,4486
66.532,4486
66.641,4486
66.75,4486
66.86,4486
66.954,4486
67.063,4486
67.172,4486
67.282,4486
67.391,4486
67.5,4486
67.594,4486
67.704,4486
67.813,4486
67.922,4486
68.032,4486
68.141,4486
68.235,4486
68.344,4486
68.454,4486
68.563,4486
68.672,4486
68.766,4486
68.875,4486
68.985,4486
69.094,4486
69.204,4486
69.313,4486
69.422,4486
69.516,4486
69.625,4486
69.735,4486
69.844,4486
69.954,4486
70.063,4486
70.157,4486
70.266,4486
70.375,4486
70.485,4486
70.594,4486
