bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0c46d-61ee-77d6-a514-7c97e1ce9da9,0,44056,93364,ACCEPTED,,93426,ok,49.370
bot-000,01a0c46d-67fd-76ef-86e3-ea1ca638b064,0,1594543,1643614,ACCEPTED,,1643663,ok,49.120
bot-000,01a0c46d-6e3c-7406-9885-0bfef6b6b9b7,0,3193607,3243719,ACCEPTED,,3243774,ok,50.167
bot-000,01a0c46d-747c-7455-a48f-a07256db357f,0,4793828,4843741,ACCEPTED,,4843795,ok,49.967
bot-000,01a0c46d-7abc-740d-afd1-89be50da16a0,0,6393803,6443447,ACCEPTED,,6443503,ok,49.700
bot-001,01a0c46d-66d0-741b-845d-ba937dda6c02,0,1293639,1343439,ACCEPTED,,1343597,ok,49.958
bot-001,01a0c46d-6cde-7675-bb44-8d82905879e8,0,2843937,2893422,ACCEPTED,,2893474,ok,49.537
bot-001,01a0c46d-72ec-7347-b83f-ad9a0d8222c2,0,4393597,4443720,ACCEPTED,,4443773,ok,50.176
bot-001,01a0c46d-792c-74e9-a658-95bdf1faee70,0,5993774,6043714,ACCEPTED,,6043773,ok,49.999
bot-001,01a0c46d-7f3a-75a4-a62a-836f6222c204,0,7543744,7593787,ACCEPTED,,7593852,ok,50.108
bot-002,01a0c46d-6bb2-7040-889e-aed331b38dbb,0,2543965,2593445,ACCEPTED,,2593498,ok,49.533
bot-002,01a0c46d-71f2-7514-b941-41e05cb890e5,0,4143982,4193449,ACCEPTED,,4193514,ok,49.532
bot-002,01a0c46d-7800-763b-97c1-b18cb156039a,0,5693475,5743833,ACCEPTED,,5743884,ok,50.409
bot-002,01a0c46d-7e40-7239-b1d2-4900cf8b7178,0,7293885,7343504,ACCEPTED,,7343562,ok,49.677
bot-002,01a0c46d-8480-7436-87a7-0ca119457707,0,8893982,8943680,ACCEPTED,,8943733,ok,49.751
bot-003,01a0c46d-7094-72d0-8bba-a51bf6997d78,0,3793969,3843755,ACCEPTED,,3843817,ok,49.848
bot-003,01a0c46d-76d4-711b-8d22-a54409c17d3c,0,5393947,5443788,ACCEPTED,,5443843,ok,49.896
bot-003,01a0c46d-7d14-73a8-a6d5-a8a8681244b6,0,6993669,7043867,ACCEPTED,,7043928,ok,50.259
bot-003,01a0c46d-8354-76d9-9332-715d5b09bf04,0,8593717,8643780,ACCEPTED,,8643826,ok,50.109
bot-003,01a0c46d-8994-71ee-a89c-1d779b46ed49,0,10193700,10243862,ACCEPTED,,10243920,ok,50.220
