t_s,avail_bytes
0.343,0
0.437,859
0.547,859
0.656,859
0.765,859
0.875,859
0.984,1071
1.078,1071
1.187,1071
1.297,1071
1.406,1071
1.515,1071
1.609,1071
1.718,1071
1.828,1071
1.937,1071
2.047,1071
2.14,1071
2.25,1283
2.359,1283
2.468,1283
2.578,1810
2.672,1810
2.781,1810
2.89,1810
3.0,1810
3.109,1810
3.218,1810
3.328,1810
3.437,2022
3.547,2022
3.64,2022
3.75,2549
3.859,2549
3.968,2549
4.078,3076
4.187,3076
4.281,3076
4.39,3076
4.5,3076
4.609,3076
4.718,3288
4.828,3288
4.922,3288
5.031,3815
5.14,3815
5.25,3815
5.359,4130
5.468,4130
5.562,4130
5.672,4130
5.781,4130
5.89,4130
6.0,4130
6.109,4130
6.218,4130
6.328,4130
6.422,4130
6.531,4130
6.64,4130
6.75,4130
6.859,4130
6.968,4130
7.078,4130
7.172,4130
7.281,4130
7.39,4130
7.5,4130
7.609,4130
7.718,4130
7.812,4130
7.922,4130
8.031,4130
8.14,4130
8.25,4130
8.343,4130
8.453,4130
8.562,4130
8.672,4130
8.781,4130
8.89,4130
9.0,4130
9.093,4130
9.203,4130
9.312,4130
9.422,4130
9.531,4130
9.625,4130
9.734,4130
9.843,4130
9.953,4130
10.062,4130
10.172,4130
10.281,4130
10.39,4130
10.484,4130
10.593,4130
10.703,4130
10.812,4130
10.922,4130
11.031,4130
11.125,4130
11.234,4130
11.343,4130
11.453,4130
11.562,4130
11.672,4130
11.765,4130
11.875,4130
11.984,4130
12.093,4130
12.203,4130
12.312,4130
12.422,4130
12.515,4130
12.625,4130
12.734,4130
12.843,4130
12.953,4130
13.062,4130
13.172,4130
13.281,4130
13.375,4130
13.484,4130
13.593,4130
13.703,4130
13.812,4130
13.922,4130
14.031,4130
14.125,4130
14.234,4130
14.343,4130
14.453,4130
14.562,4130
14.672,4130
14.765,4130
14.875,4130
14.984,4130
15.093,4130
15.203,4130
15.297,4130
15.406,4130
15.515,4130
15.625,4130
15.734,4130
15.843,4130
15.937,4130
16.047,4130
16.156,4130
16.265,4130
16.375,4130
16.468,4130
16.578,4130
16.687,4130
16.797,4130
16.906,4130
17.015,4130
17.109,4130
17.218,4130
17.328,4130
17.437,4130
17.547,4130
17.656,4130
17.75,4130
17.859,4130
17.968,4130
18.078,4130
18.187,4130
18.297,4130
