t_s,avail_bytes
0.343,0
0.453,607
0.562,1440
0.671,1440
0.781,1440
0.875,1440
0.984,1717
1.093,1717
1.203,1717
1.312,1717
1.406,1717
1.515,1717
1.625,1717
1.734,1717
1.843,1717
1.953,1717
2.046,1717
2.156,1994
2.265,1994
2.375,1994
2.484,2748
2.593,2748
2.687,2748
2.796,2748
2.906,2748
3.015,2748
3.125,2748
3.234,2748
3.343,2748
3.437,3025
3.546,3025
3.656,3025
3.765,3779
3.875,3779
3.984,3779
4.093,4256
4.187,4256
4.296,4256
4.406,4256
4.515,4256
4.625,4256
4.718,4256
4.828,4256
4.937,4256
5.046,4256
5.156,4256
5.25,4256
5.359,4256
5.468,4256
5.578,4256
5.687,4256
5.796,4256
5.906,4256
6.0,4256
6.109,4256
6.218,4256
6.328,4256
6.437,4256
6.546,4256
6.64,4256
6.75,4256
6.859,4256
6.968,4256
7.078,4256
7.171,4256
7.281,4256
7.39,4256
7.5,4256
7.609,4256
7.718,4256
7.812,4256
7.921,4256
8.031,4256
8.125,4256
8.234,4256
8.343,4256
8.453,4256
8.562,4256
8.671,4256
8.781,4256
8.875,4256
8.984,4256
9.093,4256
9.203,4256
9.312,4256
9.421,4256
9.515,4256
9.625,4256
9.734,4256
9.843,4256
9.953,4256
10.062,4256
10.171,4256
10.265,4256
10.375,4256
10.484,4256
10.593,4256
10.703,4256
10.812,4256
10.921,4256
11.015,4256
11.125,4256
11.234,4256
11.343,4256
11.453,4256
11.562,4256
11.671,4256
11.765,4256
11.875,4256
11.984,4256
12.093,4256
12.203,4256
12.296,4256
12.406,4256
12.515,4256
12.625,4256
12.734,4256
12.843,4256
12.953,4256
13.046,4256
13.156,4256
13.265,4256
13.375,4256
13.484,4256
13.593,4256
13.687,4256
13.796,4256
13.906,4256
14.015,4256
14.125,4256
14.234,4256
14.328,4256
14.437,4256
14.546,4256
14.656,4256
14.765,4256
14.875,4256
14.968,4256
15.078,4256
15.187,4256
15.296,4256
15.406,4256
15.515,4256
15.609,4256
15.718,4256
15.828,4256
15.937,4256
16.046,4256
16.156,4256
16.25,4256
16.359,4256
16.468,4256
16.578,4256
16.687,4256
16.796,4256
16.89,4256
17.0,4256
17.109,4256
17.218,4256
17.328,4256
17.421,4256
17.531,4256
17.64,4256
17.75,4256
17.859,4256
17.968,4256
18.078,4256
18.187,4256
18.296,4256
18.39,4256
18.5,4256
18.609,4256
18.718,4256
18.828,4256
18.937,4256
19.046,4256
19.14,4256
19.25,4256
19.359,4256
19.468,4256
19.578,4256
19.687,4256
19.796,4256
19.906,4256
20.0,4256
20.109,4256
20.218,4256
20.328,4256
20.437,4256
20.546,4256
20.656,4256
20.765,4256
20.875,4256
20.968,4256
21.078,4256
21.187,4256
21.296,4256
21.406,4256
21.515,4256
21.625,4256
21.734,4256
21.828,4256
21.937,4256
22.046,4256
22.156,4256
22.265,4256
22.359,4256
22.468,4256
22.578,4256
22.687,4256
22.796,4256
22.906,4256
23.0,4256
23.109,4256
23.218,4256
23.328,4256
23.437,4256
23.546,4256
23.64,4256
23.75,4256
23.859,4256
23.968,4256
24.078,4256
24.171,4256
24.281,4256
24.39,4256
24.5,4256
24.609,4256
24.718,4256
24.828,4256
24.937,4256
25.031,4256
25.14,4256
25.25,4256
25.359,4256
25.468,4256
25.562,4256
25.671,4256
25.781,4256
25.89,4256
26.0,4256
26.109,4256
26.203,4256
26.312,4256
26.421,4256
26.531,4256
26.64,4256
26.734,4256
26.843,4256
26.953,4256
27.062,4256
27.171,4256
27.281,4256
27.39,4256
27.484,4256
27.593,4256
27.703,4256
27.812,4256
27.921,4256
28.031,4256
28.14,4256
28.25,4256
28.343,4256
28.453,4256
28.562,4256
28.671,4256
28.781,4256
28.89,4256
29.0,4256
29.093,4256
29.203,4256
29.312,4256
29.421,4256
29.531,4256
29.64,4256
29.734,4256
29.843,4256
29.953,4256
30.062,4256
30.171,4256
30.265,4256
30.375,4256
30.484,4256
30.593,4256
30.703,4256
30.812,4256
30.921,4256
31.031,4256
31.125,4256
31.234,4256
31.343,4256
31.453,4256
31.562,4256
31.656,4256
31.765,4256
31.875,4256
31.984,4256
32.093,4256
32.203,4256
32.296,4256
32.406,4256
32.515,4256
32.625,4256
32.734,4256
32.843,4256
32.937,4256
33.046,4256
33.156,4256
33.265,4256
33.375,4256
33.484,4256
33.593,4256
33.687,4256
33.796,4256
33.906,4256
34.015,4256
34.125,4256
34.234,4256
34.328,4256
34.437,4256
34.546,4256
34.656,4256
34.765,4256
34.859,4256
34.968,4256
35.078,4256
35.187,4256
35.296,4256
35.406,4256
35.5,4256
35.609,4256
35.718,4256
35.828,4256
35.937,4256
36.046,4256
36.156,4256
36.265,4256
36.359,4256
36.468,4256
36.578,4256
36.687,4256
36.796,4256
36.906,4256
37.015,4256
37.109,4256
37.218,4256
37.328,4256
37.437,4256
37.546,4256
37.64,4256
37.75,4256
37.859,4256
37.968,4256
38.078,4256
38.187,4256
38.281,4256
38.39,4256
38.5,4256
38.609,4256
38.718,4256
38.828,4256
38.921,4256
39.031,4256
39.14,4256
39.25,4256
39.359,4256
39.468,4256
39.578,4256
39.671,4256
39.781,4256
39.89,4256
40.0,4256
40.109,4256
40.218,4256
40.328,4256
40.437,4256
40.531,4256
40.64,4256
40.75,4256
40.859,4256
40.968,4256
41.062,4256
41.171,4256
41.281,4256
41.39,4256
41.5,4256
41.609,4256
41.703,4256
41.812,4256
41.921,4256
42.031,4256
42.14,4256
42.25,4256
42.343,4256
42.453,4256
