bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0c441-d76c-7765-817a-3fd7be254162,1,116679,143150,ACCEPTED,,,ok,
bot-000,01a0c441-d96b-74f6-a334-ba37b2089240,2,626732,643314,ACCEPTED,,,ok,
bot-000,01a0c441-db62-731d-9642-2eb8dd203371,3,1130396,1143117,ACCEPTED,,,ok,
bot-000,01a0c441-dd61-738e-8c7d-27c6acdd1d49,4,1640869,1643441,ACCEPTED,,,ok,
bot-000,01a0c441-df5b-7379-b409-5722b1db8dca,5,2147042,2193089,ACCEPTED,,,ok,
bot-000,01a0c441-e156-768c-9c82-f9ec1d68d157,6,2653845,2693292,ACCEPTED,,,ok,
bot-000,01a0c441-e34d-744c-a6f7-eed855b42528,7,3156813,3193228,ACCEPTED,,,ok,
bot-000,01a0c441-e547-7515-9c99-86c3184cd722,8,3663227,3693202,ACCEPTED,,,ok,
bot-000,01a0c441-e740-74ff-892e-0a009391b798,9,4168555,4192943,ACCEPTED,,,ok,
bot-000,01a0c441-e93e-7238-9cfb-d713bc403213,10,4678095,4693348,ACCEPTED,,,ok,
bot-000,01a0c441-eb34-7604-9d72-2f684e8a0882,11,5179682,5193367,ACCEPTED,,,ok,
bot-000,01a0c441-ed32-70eb-a5a5-fa6d752270ed,12,5690126,5693272,ACCEPTED,,,ok,
bot-000,01a0c441-ef29-7422-8645-3ebd746082c2,13,6193255,6243177,ACCEPTED,,,ok,
bot-000,01a0c441-f127-7462-a933-7d35eb9cbf1c,14,6702748,6743440,ACCEPTED,,,ok,
bot-000,01a0c441-f31d-73e7-8218-1e2b0eb5b4b8,15,7205427,7243536,ACCEPTED,,,ok,
bot-000,01a0c441-f518-7010-8c0d-070e32976574,16,7711825,7743071,ACCEPTED,,,ok,
bot-000,01a0c441-f711-7181-a6f3-29b86c6548f8,17,8216793,8243049,ACCEPTED,,,ok,
bot-000,01a0c441-f908-76b6-aac7-ccd06b71ebb6,18,8720436,8743182,ACCEPTED,,,ok,
bot-000,01a0c441-fb05-73ee-96aa-1793ada51cf0,19,9229445,9243452,ACCEPTED,,,ok,
bot-000,01a0c441-fd04-751d-8142-ec35946a8674,20,9740362,9743150,ACCEPTED,,,ok,
bot-000,01a0c441-fefb-713a-aa1c-53b26cc2d565,21,10243226,10293385,ACCEPTED,,,ok,
bot-000,01a0c442-00f8-71cd-8d3e-9103028d0338,22,10752438,10793470,ACCEPTED,,,ok,
bot-000,01a0c442-02f4-74a5-b7b0-17999d58cec4,23,11260530,11293188,ACCEPTED,,,ok,
bot-000,01a0c442-04f8-75fc-915f-c1a021bbd209,24,11776642,11793389,ACCEPTED,,,ok,
bot-000,01a0c442-06f2-74e0-9638-ba78c34de428,25,12281951,12293219,ACCEPTED,,,ok,
bot-000,01a0c442-08f1-7676-a0d9-27d917cc5b83,26,12793609,12843328,ACCEPTED,,,ok,
bot-000,01a0c442-0aee-741a-a758-debe88770205,27,13302368,13343221,ACCEPTED,,,ok,
bot-000,01a0c442-0ce8-7203-b7b0-8682099d00a8,28,13808008,13843114,ACCEPTED,,,ok,
bot-000,01a0c442-0eeb-7685-8ce5-c9634ab2b60b,29,14323016,14343245,ACCEPTED,,,ok,
bot-000,01a0c442-10e4-722f-88e9-f0692f1cd902,30,14827934,14843512,ACCEPTED,,,ok,
bot-000,01a0c442-12db-7007-b183-c190721dc891,31,15330705,15343089,ACCEPTED,,,ok,
bot-000,01a0c442-14d0-70b7-b3ca-162ecb267648,32,15832581,15843236,ACCEPTED,,,ok,
bot-000,01a0c442-16cc-73d1-9c0d-7be7245cb3c3,33,16340145,16342941,ACCEPTED,,,ok,
bot-000,01a0c442-18ca-74f4-b814-b1032076700d,34,16849672,16893340,ACCEPTED,,,ok,
bot-000,01a0c442-1ac3-732f-89e0-52fcff64db66,35,17355632,17393553,ACCEPTED,,,ok,
bot-000,01a0c442-1cba-7110-a4a3-0b00fa959d02,36,17858583,17893649,ACCEPTED,,,ok,
bot-000,01a0c442-1eb5-77e3-90b1-aef9e1dc6f28,37,18364764,18393565,ACCEPTED,,,ok,
