tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
366112,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-250000,2500000,0,0,0
366114,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-249968,2499739,0,448,-3471
366116,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-249859,2499137,0,1360,-6861
366118,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-249598,2498213,0,3107,-10000
366120,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-249088,2497012,0,5830,-12644
366122,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-248252,2495590,0,9264,-14681
366124,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-247035,2494013,0,13148,-16093
366126,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-245418,2492334,0,17182,-16985
366128,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-243392,2490605,0,21298,-17343
366130,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-240952,2488881,0,25426,-17162
366132,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-238104,2487215,0,29495,-16443
366134,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-234858,2485661,0,33435,-15199
366136,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-231232,2484269,0,37179,-13452
366136,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2500000,250000,0,0,0,0
366138,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-227251,2483087,0,40664,-11232
366138,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2500000,250000,0,0,0,0
366140,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-222945,2482161,0,43828,-8576
366140,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2499739,249974,6,-3481,-348,101
