tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1574314,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574314,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574316,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574316,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574318,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574318,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574320,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574320,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574322,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574322,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574324,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574324,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574326,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574326,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574328,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574328,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574330,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574330,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574332,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574332,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
1574334,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-414ca8ab514d,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1574334,01a0b1c2-7e57-7c11-8e57-000000000001,01a0d778-4a7f-7547-ac98-41471799f490,ACTIVE,2500000,250000,0,0,0,0,0,0.0000
