tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1077310,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077310,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077312,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077312,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077314,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077314,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077316,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077316,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077318,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077318,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077320,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077320,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077322,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077322,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077324,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077324,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077326,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077326,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077328,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077328,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077330,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077330,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077332,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077332,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077334,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077334,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077336,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077336,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077338,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077338,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077340,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077340,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077342,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077342,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077344,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077344,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077346,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077346,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077348,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077348,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077350,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
1077350,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-287caf374aca,ACTIVE,1250000,250000,-2165064,0,0,0,0,0.0000
1077352,01a0b1c2-7e57-7c11-8e57-000000000002,01a0d3d5-9d2a-72cf-a486-2881a898e5e5,ACTIVE,2476957,238309,4283,0,0,0,0,0.0000
